type,year,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,Total_PM10,Total_PM2.5,Total_NOx,Total_SOx,Total_CO,Total_HC,Total_CO2,Total_N2O,Total_CH4
container_ship,2003,0,23.310000000000002,16.85,0.23,6.23,10.14,4.86,15.34,46280.6,9256.1,False,SV,146.3,27534.823271398956,24836.79259876963,1618541.1691315784,53425.089453316104,154924.56521607752,96211.71595069647,88280862.78361532,3847.3519594111294,1924.2343190139295
bulk_carrier,2003,0,25.089999999999996,18.81,0.22,6.06,10.9,5.0,19.48,43326.9,8665.4,True,SV,1951.1,18947.763546253525,16964.790053487737,1315145.4421262643,43528.77844430679,109529.64460727865,42569.56050793369,72083529.73082024,2998.968928646133,851.3912101586737
oil_tanker,2020,0,27.12,20.45,0.21,6.46,11.36,4.69,19.66,22183.4,4436.7,False,C3,1097.6,10351.911735207079,9332.965207494746,105025.54035121722,19580.052866148217,53156.70368829964,36923.69151676493,32366317.59503071,1436.6069340735767,738.4738303352984
bulk_carrier,2019,0,25.43,19.86,0.24,5.33,9.78,5.68,17.66,32061.3,6412.3,False,SV,1979.6,18722.957220486463,16873.928881110012,192561.89726057707,36774.40892188336,105072.80587757728,63154.64257615829,60779523.63203375,2635.9979016472057,1263.0928515231658
ro_ro_ship,2021,0,20.27,14.45,0.23,5.59,10.15,5.42,16.41,33434.7,6686.9,True,C3,1775.1,12789.123651250859,11475.159110228062,157450.34486717544,29126.23201180301,78640.333594241,33149.4095007166,48196950.35365481,2161.28347088388,662.988190014332
other_ship,2015,0,19.79,12.48,0.25,7.06,9.31,4.29,14.53,28691.0,5738.2,False,C3,1691.6,14207.200545486307,12826.28670050612,712004.9960225652,27172.527913220845,74145.97927877506,51669.935106536286,44884350.151798695,1966.489989014704,1033.398702130726
ro_ro_ship,2007,0,17.74,11.26,0.2,6.28,12.1,4.82,20.5,39481.0,7896.2,True,SV,519.9,12261.549563070908,10980.24977237538,863310.9962536808,28374.584786874384,71511.50036668246,27873.719497586666,46981412.945690945,1954.8341321901387,557.4743899517332
oil_tanker,2023,0,25.09,17.64,0.24,7.21,9.76,4.2,17.47,8220.5,1644.1,True,C3,1029.5,2758.559074966011,2472.665798541465,32406.931446345727,6210.526703178612,16624.00784531385,6741.011509872453,10282208.241404261,452.32434092231773,134.82023019744904
bulk_carrier,1993,0,22.81,16.33,0.21,6.27,11.0,4.83,19.0,10293.5,2058.7,False,C3,1517.6,5517.373960971436,4950.336083076859,360335.581142931,10397.326619684029,28292.127925116165,19852.533871586984,17186448.887076925,763.9507269150757,397.0506774317397
ro_ro_ship,2012,0,21.740000000000002,14.39,0.23,7.12,10.4,4.25,17.09,8126.3,1625.3,False,C3,1718.8,4291.577550331711,3872.1918316526962,213458.1100405763,7977.461957910192,21999.32898304172,15949.30730265977,13182870.93413011,589.5509705882585,318.9861460531954
cruise_ship,2020,0,26.15,20.53,0.22,5.4,10.63,5.61,18.62,25607.6,5121.5,True,SV,370.3,20723.689887258137,18551.435702718714,235777.08943512567,47093.93936294857,119646.57795448873,45717.392259975866,78002138.7010903,3247.1856345188094,914.3478451995172
ro_ro_ship,2015,0,27.42,20.68,0.26,6.48,9.07,4.67,18.57,48790.2,9758.0,True,C3,1234.3,23728.173943648977,21255.4213502012,1376956.2693193692,53102.1732558853,141096.78005707476,55347.07600163431,87944440.46345298,3803.022077167782,1106.9415200326862
cruise_ship,2001,0,30.65,23.84,0.2,6.61,11.88,4.58,18.85,49669.2,9933.8,False,SV,1620.7,53164.389771606555,47740.59738008731,3267981.2728213635,109531.17308281713,300254.844707005,148544.9574389489,181311459.7652375,7768.152205886849,2970.899148778978
ro_ro_ship,2004,0,27.169999999999998,21.49,0.23,5.45,10.27,5.56,17.47,48064.7,9612.9,True,SV,1639.7,23019.326189883683,20616.635531564138,1648918.700969544,53721.49681889001,132634.93725751978,53072.75483155587,88937310.33170508,3699.214036764405,1061.4550966311172
general_cargo_ship,1999,0,25.75,18.96,0.22,6.57,10.83,4.61,19.83,35875.7,7175.1,True,C3,1510.0,16363.210648755983,14646.624408614767,1238488.0637818947,36586.56770525932,97119.57147885831,37860.983672817936,60594450.267579585,2611.9077885688594,757.2196734563587
cruise_ship,2004,0,23.57,17.3,0.23,6.04,10.41,5.01,20.35,5096.2,1019.2,False,SV,619.8,4312.483951163231,3875.097263487036,262529.2512684314,8751.103089397464,24180.136482193207,12676.801265641918,14483059.088299425,624.044941539714,253.53602531283838
other_ship,2001,0,24.0,17.85,0.22,5.93,10.79,5.11,20.25,41328.7,8265.7,False,SV,1430.2,22518.615707302644,20289.867122956442,1323116.1492231493,43091.962088342785,123555.62502799318,78144.68532398513,71239831.08586404,3145.1121579894543,1562.8937064797026
reefer_ship,2021,0,27.18,21.49,0.23,5.46,10.12,5.55,18.95,23134.4,4626.9,True,SV,149.3,16210.823076920202,14511.853167260828,185524.66143139065,36910.01023464081,93221.75077960383,35907.03754602224,61132714.252468854,2544.520694595876,718.1407509204448
container_ship,2021,0,22.58,16.86,0.27,5.45,8.85,5.56,17.06,19594.7,3918.9,True,SV,1346.3,8326.03600777558,7457.782851847591,104486.08544736443,19613.553477418074,47322.62771529314,19554.771256015003,32466298.528350215,1349.6488478796377,391.0954251203001
general_cargo_ship,2020,0,18.54,12.11,0.33,6.1,7.09,4.96,15.41,17662.2,3532.4,True,C3,1666.7,6178.911488857007,5544.56814321821,77532.53355337624,14054.522684403037,38128.679354404565,16457.143858754047,23256362.07333026,1059.8293735784273,329.1428771750809
cruise_ship,2011,0,29.759999999999998,23.79,0.25,5.72,9.6,5.29,15.24,34906.1,6981.2,False,SV,219.7,36812.62258353597,33068.693047188164,1961863.1562458551,77446.22775148609,211567.0598771691,99764.9300509957,128141460.22197336,5418.479193440933,1995.298601019914
oil_tanker,2011,0,18.25,11.44,0.24,6.57,9.99,4.61,18.22,25779.4,5155.9,False,C3,842.9,9824.51900269462,8889.201243783822,469486.6942016368,17058.710682388308,47499.47270047056,42071.57440381005,28156518.96235726,1296.6775363664256,841.4314880762013
cruise_ship,2024,0,23.13,16.68,0.22,6.23,10.67,4.86,16.95,16174.7,3234.9,True,SV,689.6,11628.776194589791,10411.098185697563,133973.75214655593,26554.99294498319,67632.38323167458,25844.023491501568,43978912.90182433,1830.5256002883234,516.8804698300314
ro_ro_ship,2024,0,27.53,21.78,0.29,5.46,8.28,5.55,14.33,27602.8,5520.6,False,SV,92.0,16479.53493050006,14829.753938627771,188756.59602522902,34158.73442198027,99546.53330235739,50989.6394180773,56446781.01815488,2420.927858021071,1019.792788361546
container_ship,2024,0,27.43,21.0,0.2,6.23,11.93,4.86,20.73,6380.9,1276.2,False,C3,1189.5,3920.2973460053654,3526.2888591322085,40232.450295277384,7796.096239292099,20908.549669287,12237.865383976192,12897965.889303211,560.5992866904016,244.75730767952385
bulk_carrier,2010,0,30.33,23.25,0.24,6.84,9.81,4.43,18.26,11811.6,2362.3,True,C3,472.0,6340.298325429971,5679.023254186391,366147.5804078624,14170.620841956126,37608.37686381883,14646.459078941654,23469706.165869366,1011.2647458883819,292.9291815788331
other_ship,2006,0,19.580000000000002,13.42,0.22,5.94,10.83,5.1,19.75,27378.6,5475.7,False,C3,1969.2,13120.778668337438,11840.29326859807,755391.8380124664,24249.626055083543,66415.86427383665,49444.662308438754,40070948.01079385,1795.603549373896,988.8932461687752
other_ship,2011,0,24.77,18.53,0.22,6.02,10.85,5.03,20.41,23109.9,4622.0,True,C3,1890.5,10171.624788128205,9111.876153027013,590631.4242177134,22761.671012441493,60510.38602569239,23758.168407556986,37696044.005463496,1631.2677430774943,475.1633681511397
ro_ro_ship,2014,0,28.4,22.25,0.25,5.9,9.32,5.13,17.19,36896.1,7379.2,True,C3,1184.7,18922.69709286133,16958.630828514164,1115498.3656273629,42529.8983657858,113548.14285852827,45540.578475435665,70419019.60383359,3080.900247923193,910.8115695087133
general_cargo_ship,2002,0,26.31,20.7,0.27,5.34,8.87,5.67,18.5,32849.4,6569.9,True,SV,1005.6,15123.949480014411,13542.958850692936,1073289.6895060798,35087.6185778839,85962.61301951879,34645.70239643486,58095973.11314434,2416.1450319379255,692.9140479286972
ro_ro_ship,2000,0,25.080000000000002,18.85,0.26,5.97,9.21,5.07,18.94,46754.4,9350.9,False,C3,572.7,27551.4996019753,24842.682256319527,1600999.0705863019,51781.250637118465,141580.61685934386,99990.940759616,85593104.14144233,3805.6535284428487,1999.81881519232
other_ship,1991,0,18.439999999999998,11.04,0.22,7.18,10.73,4.22,16.68,43941.5,8788.3,True,SV,1371.8,14380.75279626366,12872.6436216586,1164082.0914161918,33717.80074503535,84797.64711135671,33264.91352717194,55813064.46057592,2321.928801071638,665.2982705434388
general_cargo_ship,2023,0,20.17,13.99,0.24,5.94,9.81,5.1,15.03,33281.1,6656.2,False,SV,1729.6,16272.08787199367,14681.432399013429,170089.47218930238,32333.27715170543,92768.71869592884,54871.892672607086,53396191.74666919,2298.474122989911,1097.4378534521416
other_ship,1995,0,26.68,21.01,0.24,5.43,9.73,5.58,17.07,6965.2,1393.0,False,C3,1254.1,4288.600124948382,3847.3346611137777,284552.19299122767,8408.214163716972,22581.757219378258,14530.052332166835,13898261.394000193,603.2301950443638,290.6010466433367
cruise_ship,1999,0,28.880000000000003,22.59,0.21,6.08,11.12,4.98,17.34,30674.8,6135.0,False,C3,1354.9,33271.62720234555,29826.45574543529,2248490.1570990314,66059.68036914352,178485.01243944565,104333.32498280832,109289955.00534546,4753.021640899387,2086.6664996561667
bulk_carrier,2005,0,18.69,12.58,0.24,5.87,9.74,5.16,18.17,20820.7,4164.1,False,SV,789.4,10576.620602334653,9562.877352833479,591919.9100690974,18632.25027498044,56460.76643047064,44062.750517007924,30758749.6235302,1407.022737049494,881.2550103401585
oil_tanker,2014,0,29.060000000000002,23.1,0.25,5.71,9.37,5.3,18.26,20418.2,4083.6,True,SV,258.8,7679.697205286441,6877.735218823892,476403.4647687088,17959.687078553918,43837.80909827082,17833.360155936134,29732708.871694773,1235.6791961537924,356.6672031187227
ro_ro_ship,2024,0,27.900000000000002,21.67,0.29,5.94,8.05,5.1,15.08,22582.5,4516.5,False,C3,1648.3,13904.242539472894,12520.921305932288,145183.72604578634,28289.37218368647,74784.604578406,43204.84942171992,46751976.3660695,1996.2123146645404,864.0969884343982
general_cargo_ship,2012,0,20.48,13.8,0.25,6.43,9.3,4.71,16.8,42823.7,8564.7,False,SV,486.1,23514.997375124505,21255.954034242863,1137120.4705408094,41693.92905892104,125664.81146677917,96662.43230818887,68836341.24285503,3140.6184424460457,1933.2486461637775
bulk_carrier,2022,0,22.21,15.45,0.28,6.48,8.52,4.67,13.9,34564.2,6912.8,True,C3,1586.4,14643.327694683867,13142.48464799158,182906.88745612293,33432.24343664468,90550.69942788308,38680.45934835988,55315016.151182145,2498.859698469064,773.6091869671975
container_ship,2007,0,22.98,16.87,0.22,5.89,10.51,5.14,17.5,46723.0,9344.6,False,SV,905.1,25509.9842166717,22976.584006459532,1524304.6178914867,50732.685246215085,144274.63160528778,82777.83633111305,83880389.30460697,3623.3470425289443,1655.556726622261
container_ship,2008,0,17.27,11.97,0.27,5.03,8.78,6.02,17.81,47102.2,9420.4,True,C3,727.0,16293.473417273904,14619.08251837172,1166386.3876175496,37077.48300075909,100335.27630298948,42773.925340654634,61355493.93103483,2772.557806631881,855.4785068130927
general_cargo_ship,2021,0,16.23,10.4,0.23,5.6,10.3,5.41,20.24,14395.6,2879.1,True,C3,404.2,4262.5889528408625,3821.4750657097775,50740.19426603464,9618.226006376,25805.37115691889,10604.526259479153,15922573.893010955,705.430018695771,212.09052518958305
reefer_ship,2016,0,26.2,20.1,0.24,5.86,9.68,5.17,19.08,18812.7,3762.5,True,SV,1734.4,12669.642180102088,11341.039661109942,144104.94652052032,28779.505458837288,72811.52156754925,27982.494693808716,47668927.041885525,1983.755001031297,559.6498938761744
ro_ro_ship,2019,0,30.28,23.58,0.26,6.44,9.15,4.7,18.12,41071.5,8214.3,True,C3,314.3,22061.567126284124,19762.266397459196,249973.1005753391,49361.160754194585,131136.28172815067,51372.39405172251,81749390.14759164,3532.9306038633977,1027.4478810344501
bulk_carrier,2005,0,18.669999999999998,12.44,0.27,5.96,8.61,5.08,18.48,38710.3,7742.1,True,C3,1396.2,13147.384890413048,11785.993825154783,914763.6405220963,29640.677706058286,79517.26857030268,32664.216242203205,49070725.32745919,2174.4381618967864,653.284324844064
general_cargo_ship,2008,0,21.130000000000003,14.57,0.21,6.35,11.17,4.77,19.44,37542.2,7508.4,False,SV,1026.7,18567.1405799985,16740.111156698087,1082974.6515095744,35065.96401184316,101191.32894312244,66461.47278647292,57964355.66527659,2574.2840076866933,1329.2294557294586
oil_tanker,1995,0,27.11,20.71,0.22,6.18,10.73,4.9,19.95,24655.4,4931.1,True,C3,570.7,8839.469807823136,7913.287748631605,679177.3228929987,19841.912149102354,52932.48535772034,21142.297349575667,32855499.74767493,1434.1089763399214,422.84594699151336
cruise_ship,2024,0,18.94,11.84,0.23,6.87,10.48,4.41,17.0,28846.0,5769.2,True,SV,1823.4,17005.155079696364,15225.066290544251,196571.1460024687,38888.47283377743,99006.77052094322,37855.425749403,64403012.80364631,2680.4339994706306,757.10851498806
other_ship,2009,0,19.78,13.6,0.23,5.95,10.27,5.09,17.81,11920.5,2384.1,True,C3,910.1,4334.483481941458,3886.5306311258337,260442.10316622208,9799.944730071891,26310.183615475733,10844.148952970125,16222075.328116192,719.31628493528,216.8829790594025
oil_tanker,1993,0,28.46,21.85,0.26,6.35,9.21,4.77,14.54,22856.9,4571.4,True,C3,322.1,9134.693187195404,8182.131569159485,733066.6861372899,20850.908945509338,56434.061303451075,23990.497712161956,34499272.454529166,1554.0719130725308,479.80995424323913
general_cargo_ship,2014,0,21.37,14.09,0.22,7.06,10.65,4.29,17.32,5445.9,1089.2,True,SV,495.7,2045.9196740718157,1832.2768905837022,124312.746887596,4744.902714940118,11953.999882857326,4657.120339982287,7855975.555361939,326.82996048712846,93.14240679964573
ro_ro_ship,2000,0,21.16,14.48,0.21,6.47,11.15,4.68,21.1,47418.1,9483.6,False,C3,233.8,21912.626516367138,19727.989194540896,1302502.5903038904,42748.4481299003,115298.7718599578,72332.83973321527,70691596.39661402,3096.1127146567887,1446.6567946643052
container_ship,2003,0,24.58,17.96,0.27,6.35,8.88,4.77,14.94,29976.0,5995.2,True,SV,533.7,13937.25897763102,12485.346081354735,1020136.4679299409,32886.829337884534,80375.92116077164,32720.077544688047,54434151.18541102,2263.7942055491358,654.4015508937609
oil_tanker,2015,0,16.82,10.06,0.22,6.54,10.66,4.63,16.19,7102.3,1420.5,False,C3,1733.2,3057.1177348160236,2774.502482044685,139990.50845815387,4916.182095035442,14222.5622662664,14870.305772588661,8102250.624606308,386.640451932044,297.4061154517732
ro_ro_ship,1996,0,16.67,10.31,0.29,6.07,8.25,4.99,17.21,22762.4,4552.5,True,SV,445.4,6706.217124344823,6002.937167990775,563188.0915248437,15974.504273504255,37782.502209708065,16095.508305589177,26438350.4867763,1097.6393034958937,321.9101661117835
oil_tanker,2000,0,25.169999999999998,18.65,0.24,6.28,9.78,4.82,16.63,19884.0,3976.8,False,C3,1263.7,10585.946451031281,9580.005496969949,585519.3356228002,18249.7933614442,51552.61707856711,45861.25272759325,30119877.800217204,1391.8082568082955,917.2250545518649
bulk_carrier,1990,0,30.819999999999997,22.95,0.24,7.63,9.65,3.97,18.47,43118.4,8623.7,True,C3,1400.6,23342.75543362044,20892.18418091259,1751960.6287969237,52057.93131832573,137816.19335855084,52996.38231454036,86228668.69579792,3692.111007335362,1059.927646290807
oil_tanker,1998,0,18.25,11.78,0.21,6.26,11.08,4.84,20.25,48938.5,9787.7,False,C3,1492.9,17207.039717123735,15450.1927955268,1089888.3021774339,30930.733201541265,85245.72337533988,68862.96051395094,51084543.85809992,2316.9933167892104,1377.2592102790186
bulk_carrier,1993,0,17.59,11.43,0.23,5.93,10.11,5.11,18.33,34045.2,6809.0,True,SV,1704.1,10580.07778334801,9470.195404373335,868874.4196692262,24935.02339799005,60754.31727689087,24848.242562685544,41274374.718214124,1715.2361357670288,496.96485125371083
ro_ro_ship,2007,0,21.74,15.12,0.23,6.39,10.22,4.74,17.47,48941.9,9788.4,True,SV,551.1,18713.183624467296,16759.58482751003,1337519.6737737828,43639.72741963622,108392.30145854811,43080.49723827791,72247849.50684938,3003.955304258061,861.6099447655583
other_ship,1994,0,21.93,14.83,0.26,6.84,9.18,4.43,18.92,40141.0,8028.2,True,C3,1917.8,15671.685287127237,14028.606551485042,1197562.9062618741,35095.71997673447,93455.99446974338,37023.85956603732,58119904.40842391,2527.345173296845,740.4771913207463
bulk_carrier,2018,0,27.85,21.73,0.21,5.91,11.23,5.12,19.58,46192.4,9238.5,True,SV,1381.3,22404.12618821679,20058.543515736834,260363.35105195158,51323.78220521009,129661.1957251304,50085.59759671146,84996052.15076117,3536.5407782361513,1001.7119519342291
cruise_ship,2012,0,24.95,18.64,0.29,6.02,8.21,5.03,16.54,45467.9,9093.6,True,C3,87.8,35893.70375507272,32148.826533300486,2141266.616122973,79895.7140054465,216832.96460034218,85291.99048255068,132328951.0540933,5737.869140358766,1705.8398096510136
container_ship,2005,0,23.080000000000002,16.25,0.28,6.55,8.57,4.62,14.38,46659.7,9331.9,False,C3,276.2,28192.634454969382,25443.511288333335,1644904.5444862242,54102.83471345648,147445.92444087222,101559.51636938183,89382168.3112441,3910.0189991885663,2031.1903273876364
bulk_carrier,2004,0,27.169999999999998,20.32,0.24,6.61,9.77,4.58,16.27,32793.5,6558.7,False,C3,1982.2,22062.65285233133,19913.366319738445,1266857.9586283136,40576.594085477176,112252.6776482666,83957.5569385927,67044969.93559631,3011.3836721492703,1679.1511387718535
oil_tanker,2011,0,20.32,14.01,0.24,6.07,9.66,4.99,18.45,30242.4,6048.5,False,C3,674.6,12856.312555489705,11632.645372642935,612867.5881426663,22249.44474500917,62197.17779687718,55397.33438556079,36724040.5193135,1692.6819101083165,1107.9466877112156
container_ship,2001,0,20.380000000000003,13.15,0.25,6.98,9.46,4.34,16.15,14962.2,2992.4,True,C3,148.5,5933.510204531279,5319.486355523957,411206.9083202883,13395.169401577881,35878.61840062597,14628.471687321091,22175025.117314782,977.4590443678984,292.5694337464218
reefer_ship,2000,0,23.21,16.5,0.21,6.5,11.41,4.66,18.14,23374.1,4674.8,False,SV,1871.3,17464.337819881817,15719.662815377931,1041660.2307787221,34236.94708730086,96983.5083543206,56781.35455476386,56628619.046906576,2476.0775977527005,1135.6270910952771
ro_ro_ship,1997,0,24.96,18.59,0.25,6.12,9.27,4.95,14.87,26219.8,5244.0,False,SV,523.2,14833.656805896248,13305.698725328695,1001038.7566181736,30004.56989837819,84774.94594175939,47015.51013014674,49581189.3354826,2122.1285441459877,940.3102026029346
general_cargo_ship,2011,0,20.74,13.87,0.23,6.64,10.08,4.56,19.26,5109.2,1021.8,False,C3,1927.5,2449.43591919788,2207.8828594910983,123240.75235746166,4648.464101638004,12642.124987513454,8680.14934813212,7684683.071688407,340.3792207967989,173.6029869626424
oil_tanker,2022,0,25.37,19.21,0.25,5.91,9.48,5.12,18.63,12248.7,2449.7,False,C3,70.5,5990.160377965096,5409.566691991854,66084.96826489546,10552.220676507903,31837.13334274062,27664.220667710328,17431405.110124692,807.9109098688143,553.2844133542065
general_cargo_ship,2021,0,29.560000000000002,23.76,0.21,5.59,11.15,5.42,19.98,48730.5,9746.1,True,SV,1511.7,25062.422531991455,22437.779543581448,290771.43729980837,57356.67501547646,144552.8491961108,55999.323662673734,94989224.41337943,3952.2905314639065,1119.9864732534745
general_cargo_ship,1993,0,24.230000000000004,17.71,0.28,6.24,8.49,4.85,13.83,23816.5,4763.3,True,SV,395.2,10408.249556068578,9318.149472459838,887420.2882060483,25101.436785794933,59941.38526348214,25200.810831010625,41532113.276246265,1725.9464399540254,504.01621662021256
other_ship,2002,0,19.44,11.49,0.21,7.74,11.34,3.91,18.51,45112.0,9022.4,True,C3,963.4,15722.072455258556,14087.82215194263,1063966.7493647453,35287.104827810464,93892.89350752017,36981.75197377395,58431546.59963082,2529.101289473575,739.6350394754788
other_ship,1997,0,26.090000000000003,20.37,0.26,5.46,9.08,5.55,17.77,35877.7,7175.5,True,SV,667.5,16435.91577106154,14710.582135173265,1322882.9181088493,38300.63295283018,93593.37593367428,37911.77743241208,63410825.83728187,2637.090245907495,758.2355486482415
general_cargo_ship,1994,0,22.03,15.64,0.22,6.17,10.67,4.91,15.68,38414.3,7682.9,True,SV,826.1,15202.230691950477,13609.389384686796,1258040.2956008464,36060.445718898685,89259.30401865399,35852.82231687874,59677292.13515711,2483.3191846081477,717.0564463375747
other_ship,1994,0,26.190000000000005,20.76,0.28,5.15,8.29,5.88,17.91,8586.1,1717.2,False,C3,733.9,4785.343722726009,4290.320806750244,326914.0216464225,9831.391096135718,26020.640520702233,14333.402457401906,16254164.06220878,691.7202203680495,286.6680491480381
ro_ro_ship,2021,0,18.59,12.77,0.24,5.58,9.7,5.43,15.67,7065.5,1413.1,False,SV,627.1,3249.8440667916084,2933.383874714742,33911.027529672196,6412.316078541517,18508.227614822426,11212.958208107735,10587422.945386486,456.6691841348053,224.25916416215472
