Load,PM10,PM2.5,DPM,NOx,SOx,CO,HC,CO2,N2O,CH4
1%,0.84,0.84,0.84,1.91,1.10,1.38,2.53,1.10,1.91,2.53
2%,0.83,0.83,0.83,1.86,1.10,1.36,2.45,1.10,1.86,2.45
3%,0.83,0.83,0.83,1.82,1.09,1.34,2.37,1.09,1.82,2.37
4%,0.82,0.82,0.82,1.77,1.09,1.33,2.30,1.09,1.77,2.30
5%,0.82,0.82,0.82,1.72,1.09,1.31,2.23,1.09,1.72,2.23
6%,0.81,0.81,0.81,1.68,1.08,1.29,2.16,1.08,1.68,2.16
7%,0.81,0.81,0.81,1.64,1.08,1.28,2.10,1.08,1.64,2.10
8%,0.80,0.80,0.80,1.60,1.08,1.26,2.03,1.08,1.60,2.03
9%,0.80,0.80,0.80,1.56,1.07,1.25,1.97,1.07,1.56,1.97
10%,0.79,0.79,0.79,1.52,1.07,1.24,1.91,1.07,1.52,1.91
11%,0.79,0.79,0.79,1.49,1.07,1.22,1.86,1.07,1.49,1.86
12%,0.78,0.78,0.78,1.45,1.07,1.21,1.80,1.07,1.45,1.80
13%,0.78,0.78,0.78,1.42,1.06,1.20,1.75,1.06,1.42,1.75
14%,0.78,0.78,0.78,1.39,1.06,1.19,1.70,1.06,1.39,1.70
15%,0.77,0.77,0.77,1.36,1.06,1.18,1.65,1.06,1.36,1.65
16%,0.77,0.77,0.77,1.33,1.06,1.17,1.61,1.06,1.33,1.61
17%,0.77,0.77,0.77,1.30,1.05,1.16,1.56,1.05,1.30,1.56
18%,0.77,0.77,0.77,1.28,1.05,1.15,1.52,1.05,1.28,1.52
19%,0.76,0.76,0.76,1.25,1.05,1.14,1.48,1.05,1.25,1.48
20%,0.76,0.76,0.76,1.23,1.05,1.13,1.44,1.05,1.23,1.44
21%,0.76,0.76,0.76,1.20,1.04,1.13,1.41,1.04,1.20,1.41
22%,0.76,0.76,0.76,1.18,1.04,1.12,1.37,1.04,1.18,1.37
23%,0.76,0.76,0.76,1.16,1.04,1.11,1.34,1.04,1.16,1.34
24%,0.75,0.75,0.75,1.14,1.04,1.10,1.31,1.04,1.14,1.31
25%,0.75,0.75,0.75,1.12,1.03,1.10,1.28,1.03,1.12,1.28
26%,0.75,0.75,0.75,1.11,1.03,1.09,1.25,1.03,1.11,1.25
27%,0.75,0.75,0.75,1.09,1.03,1.08,1.22,1.03,1.09,1.22
28%,0.75,0.75,0.75,1.07,1.03,1.08,1.20,1.03,1.07,1.20
29%,0.75,0.75,0.75,1.06,1.03,1.07,1.17,1.03,1.06,1.17
30%,0.75,0.75,0.75,1.05,1.02,1.07,1.15,1.02,1.05,1.15
31%,0.75,0.75,0.75,1.03,1.02,1.06,1.13,1.02,1.03,1.13
32%,0.75,0.75,0.75,1.02,1.02,1.06,1.11,1.02,1.02,1.11
33%,0.75,0.75,0.75,1.01,1.02,1.05,1.09,1.02,1.01,1.09
34%,0.75,0.75,0.75,1.00,1.02,1.05,1.08,1.02,1.00,1.08
35%,0.76,0.76,0.76,0.99,1.02,1.04,1.06,1.02,0.99,1.06
36%,0.76,0.76,0.76,0.98,1.01,1.04,1.05,1.01,0.98,1.05
37%,0.76,0.76,0.76,0.98,1.01,1.03,1.04,1.01,0.98,1.04
38%,0.76,0.76,0.76,0.97,1.01,1.03,1.02,1.01,0.97,1.02
39%,0.76,0.76,0.76,0.96,1.01,1.02,1.01,1.01,0.96,1.01
40%,0.76,0.76,0.76,0.96,1.01,1.02,1.00,1.01,0.96,1.00
41%,0.77,0.77,0.77,0.95,1.01,1.01,0.99,1.01,0.95,0.99
42%,0.77,0.77,0.77,0.95,1.01,1.01,0.99,1.01,0.95,0.99
43%,0.77,0.77,0.77,0.94,1.01,1.01,0.98,1.01,0.94,0.98
44%,0.78,0.78,0.78,0.94,1.01,1.00,0.97,1.01,0.94,0.97
45%,0.78,0.78,0.78,0.94,1.00,1.00,0.97,1.00,0.94,0.97
46%,0.78,0.78,0.78,0.94,1.00,0.99,0.96,1.00,0.94,0.96
47%,0.79,0.79,0.79,0.94,1.00,0.99,0.96,1.00,0.94,0.96
48%,0.79,0.79,0.79,0.93,1.00,0.98,0.96,1.00,0.93,0.96
49%,0.79,0.79,0.79,0.93,1.00,0.98,0.96,1.00,0.93,0.96
50%,0.80,0.80,0.80,0.93,1.00,0.98,0.96,1.00,0.93,0.96
51%,0.80,0.80,0.80,0.94,1.00,0.97,0.95,1.00,0.94,0.95
52%,0.81,0.81,0.81,0.94,1.00,0.97,0.95,1.00,0.94,0.95
53%,0.81,0.81,0.81,0.94,1.00,0.96,0.95,1.00,0.94,0.95
54%,0.82,0.82,0.82,0.94,1.00,0.96,0.95,1.00,0.94,0.95
55%,0.82,0.82,0.82,0.94,0.99,0.96,0.96,0.99,0.94,0.96
56%,0.83,0.83,0.83,0.94,0.99,0.95,0.96,0.99,0.94,0.96
57%,0.84,0.84,0.84,0.95,0.99,0.95,0.96,0.99,0.95,0.96
58%,0.84,0.84,0.84,0.95,0.99,0.95,0.96,0.99,0.95,0.96
59%,0.85,0.85,0.85,0.95,0.99,0.94,0.96,0.99,0.95,0.96
60%,0.86,0.86,0.86,0.95,0.99,0.94,0.97,0.99,0.95,0.97
61%,0.86,0.86,0.86,0.96,0.99,0.93,0.97,0.99,0.96,0.97
62%,0.87,0.87,0.87,0.96,0.99,0.93,0.97,0.99,0.96,0.97
63%,0.88,0.88,0.88,0.96,0.99,0.93,0.98,0.99,0.96,0.98
64%,0.89,0.89,0.89,0.97,0.99,0.93,0.98,0.99,0.97,0.98
65%,0.89,0.89,0.89,0.97,0.99,0.92,0.98,0.99,0.97,0.98
66%,0.90,0.90,0.90,0.98,0.99,0.92,0.99,0.99,0.98,0.99
67%,0.91,0.91,0.91,0.98,0.99,0.92,0.99,0.99,0.98,0.99
68%,0.92,0.92,0.92,0.98,0.99,0.91,0.99,0.99,0.98,0.99
69%,0.93,0.93,0.93,0.99,0.99,0.91,1.00,0.99,0.99,1.00
70%,0.94,0.94,0.94,0.99,0.99,0.91,1.00,0.99,0.99,1.00
71%,0.94,0.94,0.94,0.99,0.99,0.91,1.00,0.99,0.99,1.00
72%,0.95,0.95,0.95,1.00,0.99,0.91,1.01,0.99,1.00,1.01
73%,0.96,0.96,0.96,1.00,0.99,0.91,1.01,0.99,1.00,1.01
74%,0.97,0.97,0.97,1.00,0.99,0.91,1.01,0.99,1.00,1.01
75%,0.98,0.98,0.98,1.01,0.99,0.90,1.01,0.99,1.01,1.01
76%,0.99,0.99,0.99,1.01,0.99,0.90,1.01,0.99,1.01,1.01
77%,1.00,1.00,1.00,1.01,0.99,0.90,1.01,0.99,1.01,1.01
78%,1.01,1.01,1.01,1.01,0.99,0.91,1.01,0.99,1.01,1.01
79%,1.03,1.03,1.03,1.02,0.99,0.91,1.01,0.99,1.02,1.01
80%,1.04,1.04,1.04,1.02,0.99,0.91,1.01,0.99,1.02,1.01
81%,1.05,1.05,1.05,1.02,0.99,0.91,1.01,0.99,1.02,1.01
82%,1.06,1.06,1.06,1.02,0.99,0.91,1.01,0.99,1.02,1.01
83%,1.07,1.07,1.07,1.02,0.99,0.92,1.01,0.99,1.02,1.01
84%,1.08,1.08,1.08,1.02,0.99,0.92,1.00,0.99,1.02,1.01
85%,1.10,1.10,1.10,1.02,0.99,0.92,1.00,0.99,1.02,1.01
86%,1.11,1.11,1.11,1.02,0.99,0.93,0.99,0.99,1.02,0.99
87%,1.12,1.12,1.12,1.02,0.99,0.93,0.99,0.99,1.02,0.99
88%,1.13,1.13,1.13,1.02,0.99,0.94,0.98,0.99,1.02,0.98
89%,1.15,1.15,1.15,1.01,0.99,0.95,0.98,0.99,1.01,0.97
90%,1.16,1.16,1.16,1.01,0.99,0.95,0.97,0.99,1.01,0.97
91%,1.17,1.17,1.17,1.01,1.00,0.96,0.96,1.00,1.01,0.96
92%,1.19,1.19,1.19,1.00,1.00,0.97,0.94,1.00,1.00,0.94
93%,1.20,1.20,1.20,1.00,1.00,0.98,0.93,1.00,1.00,0.93
94%,1.22,1.22,1.22,0.99,1.00,0.99,0.92,1.00,0.99,0.92
95%,1.23,1.23,1.23,0.99,1.00,1.01,0.91,1.00,0.99,0.91
96%,1.24,1.24,1.24,0.98,1.00,1.02,0.89,1.00,0.98,0.89
97%,1.26,1.26,1.26,0.97,1.00,1.03,0.87,1.00,0.97,0.87
98%,1.28,1.28,1.28,0.97,1.00,1.05,0.86,1.00,0.97,0.86
99%,1.29,1.29,1.29,0.96,1.00,1.07,0.84,1.00,0.96,0.84
100%,1.31,1.31,1.31,0.95,1.00,1.08,0.82,1.00,0.95,0.82
