type,year,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,E1_PM10,E2_PM10,E3_PM10,E4_PM10,E5_PM10,Total_PM10,E1_PM2.5,E2_PM2.5,E3_PM2.5,E4_PM2.5,E5_PM2.5,Total_PM2.5,E1_NOx,E2_NOx,E3_NOx,E4_NOx,E5_NOx,Total_NOx,E1_SOx,E2_SOx,E3_SOx,E4_SOx,E5_SOx,Total_SOx,E1_CO,E2_CO,E3_CO,E4_CO,E5_CO,Total_CO,E1_HC,E2_HC,E3_HC,E4_HC,E5_HC,Total_HC,E1_CO2,E2_CO2,E3_CO2,E4_CO2,E5_CO2,Total_CO2,E1_N2O,E2_N2O,E3_N2O,E4_N2O,E5_N2O,Total_N2O,E1_CH4,E2_CH4,E3_CH4,E4_CH4,E5_CH4,Total_CH4
other_ship,2020,0,18.330000000000002,12.39,0.23,5.71,10.05,5.3,17.7,28202.2,5640.4,False,C3,968.5,230.92138635954112,3500.7122072321854,41.902531599999996,2753.6714819999997,5975.129537999999,12502.337145191726,212.39828050182388,3219.906415208213,37.4917388,2463.811326,5346.168534,11279.776294510037,3148.9279958119246,32823.36525090063,441.07928,28986.0156,62896.100399999996,128295.48852671255,490.4229751546754,4247.538881816034,92.6266488,6087.063276,13208.181083999998,24125.83286577071,637.9072686538456,13517.761687048993,242.593604,15942.30858,34592.85522,64933.42635970283,658.9951122457081,25248.74250069279,88.215856,5797.20312,12579.22008,44372.3766689385,803510.959293321,6930779.816440172,153495.58943999998,10087133.4288,21887842.9392,39862762.73317349,35.12265841482531,366.1067662600455,6.39564956,420.2972262,911.9934558,1739.9157562348707,13.179902244914164,504.97485001385587,1.76431712,115.94406239999999,251.58440159999998,887.44753337877
other_ship,2002,0,22.45,16.36,0.22,5.87,10.94,5.16,17.39,42649.0,8529.8,False,SV,1223.6,436.84398477749886,5295.741961217655,60.6127588,4280.9786730000005,11931.313644,22005.491021795155,401.80302343171013,4870.949825291105,54.2324684,3830.3493390000003,10675.385892,19832.720548122816,28499.98189457479,232991.45573899016,3891.977144,274883.89373999997,766115.9287199999,1306383.2372375648,936.7616999774174,6425.51245482739,133.9860984,9463.216014,26374.482791999995,43333.959059204804,2569.67049869117,27420.446829214743,350.915972,24784.613370000003,69076.02636,124201.67302990591,1168.0320448596226,38195.32061294921,127.60580800000001,9012.58668,25118.55504,73622.10018580884,1534794.106945544,10484615.508254558,222034.10592,15681900.8232,43706285.7696,71629630.3139201,67.74585860185812,553.8321488877637,9.25142108,653.4125343000001,1821.0952404,3105.3372032696216,23.360640897192454,763.9064122589842,2.55211616,180.25173360000002,502.37110079999997,1472.4420037161767
bulk_carrier,2018,0,28.17,20.93,0.26,6.98,9.18,4.34,17.93,5858.6,1171.7,False,C3,1958.6,45.49282832275422,790.5816404799566,9.839936600000001,699.2588430000002,2096.7747255,3641.947973902711,41.843670970661634,727.1660008692648,8.804153800000002,625.6526490000001,1876.0615965000002,3279.528071139927,589.9982139013558,6981.229717727543,103.57828,7360.619400000001,22071.3129,37106.7385116289,93.45522643896943,767.424928183158,21.7514388,1545.7300740000003,4634.975709,7063.337376422128,150.39843589845788,2717.0542428243616,56.96805400000001,4048.340670000001,12139.222095000001,19111.983497722824,163.54766844112427,6141.487183147921,20.715656000000003,1472.1238800000003,4414.2625800000005,12212.136967589046,153117.41588629154,1249731.7488381912,36045.241440000005,2561495.5512000006,7680816.8892,11681206.846564483,6.580749308899738,77.86756223619182,1.5018850600000002,106.72898130000003,320.03403705000005,512.7132149550916,3.270953368822485,122.82974366295842,0.41431312000000003,29.442477600000007,88.28525160000001,244.24273935178093
cruise_ship,2010,0,27.0,20.02,0.24,6.74,10.02,4.49,16.66,11673.5,2334.7,True,C3,316.1,86.62548946728586,239.05328437950578,85.16985600000001,2391.8534560000003,7104.585487999999,9907.28757384679,79.67692079343941,219.87788723676465,76.20460800000001,2140.079408,6356.734383999999,8872.573208030204,7551.997006048914,30079.960337167377,4706.7552000000005,132181.3752,392621.82959999994,567141.9173432162,254.1957087492042,679.3789300934219,188.270208,5287.255008,15704.873183999998,22113.973038842625,750.9330356297228,2304.1280422121044,493.08864000000005,13847.572640000002,41131.81072,58527.53307784183,417.5236439986689,1886.735863442398,179.30496000000002,5035.480960000001,14957.022079999999,22476.06750744107,416475.26346191304,1113097.1498039356,311990.6304,8761736.8704,26025218.419199996,36628518.33326584,20.857896492897005,83.07798569312895,12.999609600000001,365.0723696,1084.3841008,1566.391962186026,8.350472879973378,37.73471726884796,3.5860992,100.7096192,299.1404416,449.5213501488213
reefer_ship,2024,0,26.22,20.18,0.22,5.82,10.69,5.2,20.67,39789.6,7957.9,True,C3,1243.9,176.62010924422202,572.2698396025354,66.52804400000001,5895.896699400001,20443.1607206,27154.47541284676,162.4527208021721,526.3658417734549,59.52509200000001,5275.275994200001,18291.249065800002,24314.86871457563,4376.148874322078,17830.661325416284,700.2952,62062.07052000001,215191.16548,300160.34139973833,514.7000112117717,1626.3657383459727,147.061992,13033.0348092,45190.1447508,60511.30730155774,1585.0522624481462,5515.853875687089,385.16236000000004,34134.13878600001,118355.14101400001,159975.34829813527,1029.2547158754196,4516.658420933612,140.05904,12412.414104000003,43038.233096,61136.61937680904,843286.5520352467,2664644.114945895,243702.72960000002,21597600.540960003,74886525.58703999,100235759.52458113,48.810891290515485,198.8804532450278,10.154280400000001,899.9000225400001,3120.27189946,4278.017546935544,20.585094317508393,90.33316841867224,2.8011808,248.24828208000005,860.76466192,1222.7323875361808
container_ship,2015,0,20.57,15.02,0.25,5.3,9.51,5.71,18.26,11455.1,2291.0,False,SV,1799.9,86.99966325030536,1503.177486006774,14.146925,1107.3777599999999,3138.266784,5849.968618257079,80.0210806366445,1382.6017518351075,12.657775,990.8116799999999,2807.922912,5274.015199471752,4587.659526893573,56918.42971059724,781.8037499999999,61197.19199999999,173430.5328,296915.6177874908,180.07170476328028,1823.8588150416263,31.272149999999996,2447.8876799999994,6937.221311999999,11420.311661804904,370.2047051556472,7783.196128469254,81.90325,6411.1344,18168.91296,32815.3514436249,297.3483026690279,10841.605659161378,29.783,2331.3215999999998,6606.87744,20106.936001830407,295030.19957475096,2976020.753439798,51822.42,4056499.5839999993,11495966.7456,18875339.702614546,12.670678693325106,157.20328205784,2.1592675,169.020816,478.9986144,820.0526586511651,5.946966053380557,216.83211318322756,0.59566,46.626431999999994,132.1375488,402.1387200366081
general_cargo_ship,1997,0,25.82,19.91,0.22,5.69,10.96,5.32,19.36,9611.3,1922.3,True,SV,196.9,35.15265275434348,78.51571106765084,13.659863800000002,935.1893385000002,3272.3409015,4334.858467621994,31.768974949112554,70.95804903974862,12.221983400000003,836.7483555000002,2927.8839645000007,3879.581327388862,6785.770183551537,27861.21893529359,992.1374760000002,67924.27827000001,237675.28653000004,341238.6913948452,161.53033332114288,500.5532613374879,30.195488400000002,2067.260643,7233.595677,9993.135403058632,438.88065863766167,149.79149965211607,79.08342200000001,5414.254065000001,18945.131535000004,25027.141180289782,164.9638839284917,748.9574982605803,28.757608000000005,1968.8196600000003,6889.138740000001,9800.637390189073,264651.9426234186,820108.4605953356,50038.23792000001,3425746.2084000004,11987101.4076,16547646.257138755,11.125471241688976,32.90873855993459,2.0849265800000003,142.73942535000003,499.46255865000006,688.3211203816237,3.2992776785698337,14.979149965211608,0.5751521600000001,39.37639320000001,137.78277480000003,196.01274780378148
general_cargo_ship,2006,0,27.740000000000002,21.18,0.26,6.3,9.0,4.81,15.51,21187.0,4237.4,False,C3,1636.5,201.2688457461335,3223.5866950888967,35.5856852,2282.4755099999998,7673.465286,13416.38202203503,185.12428592692493,2965.0102222208034,31.839823600000003,2042.2149299999999,6865.732098,12089.921359747728,13130.908652956303,141824.91561898313,2284.975576,146558.9538,492717.24467999995,796516.9983279393,431.59789916684247,3911.2926215436228,78.6630936,5045.472179999999,16962.396947999998,26429.42274231046,520.9311301664633,12447.660402283222,206.022388,13214.3319,44425.32534,70814.27116044969,538.151993973619,23249.98616704642,74.917232,4805.2116,16154.66376,44822.93075302004,707131.7200813354,6382121.202854241,130355.98368,8361068.183999999,28109114.942399997,43689792.03301557,31.212815650469906,337.1247994221731,5.43149932,348.377841,1171.2131226,1893.3600779926428,10.76303987947238,464.99972334092837,1.49834464,96.104232,323.0932752,896.4586150604008
general_cargo_ship,2022,0,27.57,21.18,0.21,6.18,11.4,4.9,17.28,44746.0,8949.2,True,SV,438.7,297.68055779142645,436.2576440118021,60.7024236,4728.667788000001,16206.016788,21729.32520140323,273.8024381824885,401.2637153477537,54.31269480000001,4230.913284,14500.120284000002,19460.412416330244,7997.146499535829,30492.007030511275,638.97288,49775.4504,170589.6504,259493.22721004713,1114.3931911954398,2781.2291772453523,134.1843048,10452.844584,35823.826584,50306.47784124079,4926.717108013639,832.2880330908785,351.435084,27376.497720000003,93824.30772000001,127311.24566510454,957.8228769686975,4161.440165454393,127.794576,9955.090080000002,34117.930080000006,49320.077778423096,1825826.2509112319,4556776.98117256,222362.56224,17321856.7392,59365198.339200005,83292020.87272379,78.24468572420346,182.85115878511724,9.26510676,721.7440308,2473.5499308000003,3465.654912869321,19.15645753937395,83.22880330908785,2.5558915200000003,199.10180160000002,682.3586016,986.4015555684618
container_ship,2012,0,29.68,23.42,0.24,6.02,9.83,5.03,19.69,41508.7,8301.7,False,SV,1416.9,287.43329305964875,5678.9960276548645,49.21247760000001,4557.8325408,17731.6342368,28305.108575914513,264.37714655753786,5223.461586933886,44.03221680000001,4078.0606944,15865.146422400003,25475.078067091425,14837.745894100375,202522.23900914832,2719.6369200000004,251880.21936,979906.1025600001,1451865.943743249,581.5727018492125,5512.654096077465,108.78547680000001,10075.2087744,39196.2441024,55474.465151526674,1319.3569941390708,26171.130568177574,284.9143440000001,26387.451552000002,102656.82979200002,156819.68325031665,1090.8284366590085,44116.22978724428,103.60521600000003,9595.436928000001,37329.756288000004,92235.8566559033,952851.0351993332,8977215.348660994,180273.07584000003,16696060.25472,64953775.941120006,91760175.65554033,40.98044104084866,559.3471363109811,7.511378160000001,695.66917728,2706.4073308800002,4009.91546367183,21.816568733180173,882.3245957448856,2.07210432,191.90873856,746.5951257600001,1844.7171331180657
