type,year,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,E1_PM10,E2_PM10,E3_PM10,E4_PM10,E5_PM10,,E1_PM2.5,E2_PM2.5,E3_PM2.5,E4_PM2.5,E5_PM2.5,,E1_NOx,E2_NOx,E3_NOx,E4_NOx,E5_NOx,,E1_SOx,E2_SOx,E3_SOx,E4_SOx,E5_SOx,,E1_CO,E2_CO,E3_CO,E4_CO,E5_CO,,E1_HC,E2_HC,E3_HC,E4_HC,E5_HC,,E1_CO2,E2_CO2,E3_CO2,E4_CO2,E5_CO2,,E1_N2O,E2_N2O,E3_N2O,E4_N2O,E5_N2O,,E1_CH4,E2_CH4,E3_CH4,E4_CH4,E5_CH4,Total_CH4
other_ship,2020,0,18.33,12.39,0.23,5.71,10.05,5.3,17.7,28202.2,5640.4,FALSE,C3,968.5,230.9213864,3500.712207,41.9025316,2753.671482,5975.129538,,212.3982805,3219.906415,37.4917388,2463.811326,5346.168534,,3148.927996,32823.36525,441.07928,28986.0156,62896.1004,,490.4229752,4247.538882,92.6266488,6087.063276,13208.18108,,637.9072687,13517.76169,242.593604,15942.30858,34592.85522,,658.9951122,25248.7425,88.215856,5797.20312,12579.22008,,803510.9593,6930779.816,153495.5894,10087133.43,21887842.94,,35.12265841,366.1067663,6.39564956,420.2972262,911.9934558,,13.17990224,504.97485,1.76431712,115.9440624,251.5844016,887.4475334
other_ship,2002,0,22.45,16.36,0.22,5.87,10.94,5.16,17.39,42649,8529.8,FALSE,SV,1223.6,436.8439848,5295.741961,60.6127588,4280.978673,11931.31364,,401.8030234,4870.949825,54.2324684,3830.349339,10675.38589,,28499.98189,232991.4557,3891.977144,274883.8937,766115.9287,,936.7617,6425.512455,133.9860984,9463.216014,26374.48279,,2569.670499,27420.44683,350.915972,24784.61337,69076.02636,,1168.032045,38195.32061,127.605808,9012.58668,25118.55504,,1534794.107,10484615.51,222034.1059,15681900.82,43706285.77,,67.7458586,553.8321489,9.25142108,653.4125343,1821.09524,,23.3606409,763.9064123,2.55211616,180.2517336,502.3711008,1472.442004
bulk_carrier,2018,0,28.17,20.93,0.26,6.98,9.18,4.34,17.93,5858.6,1171.7,FALSE,C3,1958.6,45.49282832,790.5816405,9.8399366,699.258843,2096.774726,,41.84367097,727.1660009,8.8041538,625.652649,1876.061597,,589.9982139,6981.229718,103.57828,7360.6194,22071.3129,,93.45522644,767.4249282,21.7514388,1545.730074,4634.975709,,150.3984359,2717.054243,56.968054,4048.34067,12139.2221,,163.5476684,6141.487183,20.715656,1472.12388,4414.26258,,153117.4159,1249731.749,36045.24144,2561495.551,7680816.889,,6.580749309,77.86756224,1.50188506,106.7289813,320.0340371,,3.270953369,122.8297437,0.41431312,29.4424776,88.2852516,244.2427394
cruise_ship,2010,0,27,20.02,0.24,6.74,10.02,4.49,16.66,11673.5,2334.7,TRUE,C3,316.1,86.62548947,239.0532844,85.169856,2391.853456,7104.585488,,79.67692079,219.8778872,76.204608,2140.079408,6356.734384,,7551.997006,30079.96034,4706.7552,132181.3752,392621.8296,,254.1957087,679.3789301,188.270208,5287.255008,15704.87318,,750.9330356,2304.128042,493.08864,13847.57264,41131.81072,,417.523644,1886.735863,179.30496,5035.48096,14957.02208,,416475.2635,1113097.15,311990.6304,8761736.87,26025218.42,,20.85789649,83.07798569,12.9996096,365.0723696,1084.384101,,8.35047288,37.73471727,3.5860992,100.7096192,299.1404416,449.5213501
reefer_ship,2024,0,26.22,20.18,0.22,5.82,10.69,5.2,20.67,39789.6,7957.9,TRUE,C3,1243.9,176.6201092,572.2698396,66.528044,5895.896699,20443.16072,,162.4527208,526.3658418,59.525092,5275.275994,18291.24907,,4376.148874,17830.66133,700.2952,62062.07052,215191.1655,,514.7000112,1626.365738,147.061992,13033.03481,45190.14475,,1585.052262,5515.853876,385.16236,34134.13879,118355.141,,1029.254716,4516.658421,140.05904,12412.4141,43038.2331,,843286.552,2664644.115,243702.7296,21597600.54,74886525.59,,48.81089129,198.8804532,10.1542804,899.9000225,3120.271899,,20.58509432,90.33316842,2.8011808,248.2482821,860.7646619,1222.732388
container_ship,2015,0,20.57,15.02,0.25,5.3,9.51,5.71,18.26,11455.1,2291,FALSE,SV,1799.9,86.99966325,1503.177486,14.146925,1107.37776,3138.266784,,80.02108064,1382.601752,12.657775,990.81168,2807.922912,,4587.659527,56918.42971,781.80375,61197.192,173430.5328,,180.0717048,1823.858815,31.27215,2447.88768,6937.221312,,370.2047052,7783.196128,81.90325,6411.1344,18168.91296,,297.3483027,10841.60566,29.783,2331.3216,6606.87744,,295030.1996,2976020.753,51822.42,4056499.584,11495966.75,,12.67067869,157.2032821,2.1592675,169.020816,478.9986144,,5.946966053,216.8321132,0.59566,46.626432,132.1375488,402.13872
general_cargo_ship,1997,0,25.82,19.91,0.22,5.69,10.96,5.32,19.36,9611.3,1922.3,TRUE,SV,196.9,35.15265275,78.51571107,13.6598638,935.1893385,3272.340902,,31.76897495,70.95804904,12.2219834,836.7483555,2927.883965,,6785.770184,27861.21894,992.137476,67924.27827,237675.2865,,161.5303333,500.5532613,30.1954884,2067.260643,7233.595677,,438.8806586,149.7914997,79.083422,5414.254065,18945.13154,,164.9638839,748.9574983,28.757608,1968.81966,6889.13874,,264651.9426,820108.4606,50038.23792,3425746.208,11987101.41,,11.12547124,32.90873856,2.08492658,142.7394254,499.4625587,,3.299277679,14.97914997,0.57515216,39.3763932,137.7827748,196.0127478
general_cargo_ship,2006,0,27.74,21.18,0.26,6.3,9,4.81,15.51,21187,4237.4,FALSE,C3,1636.5,201.2688457,3223.586695,35.5856852,2282.47551,7673.465286,,185.1242859,2965.010222,31.8398236,2042.21493,6865.732098,,13130.90865,141824.9156,2284.975576,146558.9538,492717.2447,,431.5978992,3911.292622,78.6630936,5045.47218,16962.39695,,520.9311302,12447.6604,206.022388,13214.3319,44425.32534,,538.151994,23249.98617,74.917232,4805.2116,16154.66376,,707131.7201,6382121.203,130355.9837,8361068.184,28109114.94,,31.21281565,337.1247994,5.43149932,348.377841,1171.213123,,10.76303988,464.9997233,1.49834464,96.104232,323.0932752,896.4586151
general_cargo_ship,2022,0,27.57,21.18,0.21,6.18,11.4,4.9,17.28,44746,8949.2,TRUE,SV,438.7,297.6805578,436.257644,60.7024236,4728.667788,16206.01679,,273.8024382,401.2637153,54.3126948,4230.913284,14500.12028,,7997.1465,30492.00703,638.97288,49775.4504,170589.6504,,1114.393191,2781.229177,134.1843048,10452.84458,35823.82658,,4926.717108,832.2880331,351.435084,27376.49772,93824.30772,,957.822877,4161.440165,127.794576,9955.09008,34117.93008,,1825826.251,4556776.981,222362.5622,17321856.74,59365198.34,,78.24468572,182.8511588,9.26510676,721.7440308,2473.549931,,19.15645754,83.22880331,2.55589152,199.1018016,682.3586016,986.4015556
container_ship,2012,0,29.68,23.42,0.24,6.02,9.83,5.03,19.69,41508.7,8301.7,FALSE,SV,1416.9,287.4332931,5678.996028,49.2124776,4557.832541,17731.63424,,264.3771466,5223.461587,44.0322168,4078.060694,15865.14642,,14837.74589,202522.239,2719.63692,251880.2194,979906.1026,,581.5727018,5512.654096,108.7854768,10075.20877,39196.2441,,1319.356994,26171.13057,284.914344,26387.45155,102656.8298,,1090.828437,44116.22979,103.605216,9595.436928,37329.75629,,952851.0352,8977215.349,180273.0758,16696060.25,64953775.94,,40.98044104,559.3471363,7.51137816,695.6691773,2706.407331,,21.81656873,882.3245957,2.07210432,191.9087386,746.5951258,1844.717133
