month,type,year_ship,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,E1_PM10,E2_PM10,E3_PM10,E4_PM10,E5_PM10,Total_PM10,E1_PM2.5,E2_PM2.5,E3_PM2.5,E4_PM2.5,E5_PM2.5,Total_PM2.5,E1_NOx,E2_NOx,E3_NOx,E4_NOx,E5_NOx,Total_NOx,E1_SOx,E2_SOx,E3_SOx,E4_SOx,E5_SOx,Total_SOx,E1_CO,E2_CO,E3_CO,E4_CO,E5_CO,Total_CO,E1_HC,E2_HC,E3_HC,E4_HC,E5_HC,Total_HC,E1_CO2,E2_CO2,E3_CO2,E4_CO2,E5_CO2,Total_CO2,E1_N2O,E2_N2O,E3_N2O,E4_N2O,E5_N2O,Total_N2O,E1_CH4,E2_CH4,E3_CH4,E4_CH4,E5_CH4,Total_CH4,CO2_scaled
8,container_ship,2017,0,21.86,15.5,0.24,6.12,9.79,4.95,13.78,25820.8,6098.4,FALSE,SV,83.2,408.8831194,3288.491392,36.1513152,3403.78537,8620.69824,15758.00944,375.5502564,3020.407855,32.3459136,3045.492173,7713.25632,14187.05252,7555.448945,45574.20135,380.54016,35829.31968,90744.192,180083.7021,804.4330936,4693.219829,79.9134336,7524.157133,19056.28032,32158.00381,3111.067213,23535.24419,209.297088,19706.12582,49909.3056,96471.03991,1333.31452,24654.89581,76.108032,7165.863936,18148.8384,51379.0207,8421.825622,48856.97957,846.3498737,79687.0958,201821.893,53142398.36,64.44353512,388.7211292,5.51783232,519.5251354,1315.790784,2293.998416,26.66629039,493.0979163,1.52216064,143.3172787,362.976768,1027.580414,339634.1438
9,container_ship,2017,0,21.87,14.95,0.22,6.7,10.55,4.52,13.37,38904.8,8016.2,TRUE,SV,77.6,595.7959863,704.2072502,43.5600308,4898.218848,10929.60773,17171.38984,547.2256613,646.7990504,38.9747644,4382.616864,9779.122704,15394.73904,14154.78042,60953.40787,458.52664,51560.1984,115048.5024,242175.4157,1522.290705,3974.057448,96.2905944,10827.64166,24160.1855,40580.46592,9066.460661,1692.03115,252.189652,28358.10912,63276.67632,102645.4669,1791.424973,7493.280808,91.705328,10312.03968,23009.70048,42698.15127,14898.03574,38892.47285,953.2989406,107196.1326,239191.3705,67143081.49,120.7319506,519.8967141,6.64863628,747.6228768,1668.203285,3063.103463,35.82849946,149.8656162,1.83410656,206.2407936,460.1940096,853.9630254,401131.3107
8,container_ship,2020,0,20.53,13.67,0.22,6.64,10.69,4.56,14.86,40630,11543,FALSE,C3,80.8,612.2996533,6210.959835,62.724662,6990.071424,14390.70427,28266.75985,562.3839207,5704.631588,56.122066,6254.274432,12875.8933,25453.3053,11314.23272,77395.33242,660.2596,73579.6992,151481.0976,314430.6215,1204.633014,6913.972635,138.654516,15451.73683,31811.0305,55520.02749,4658.80171,31021.74557,363.14278,40468.83456,83314.60368,159827.1283,1996.629304,54631.99935,132.05192,14715.93984,30296.21952,101772.8399,12611.62583,72088.78642,1468.4669,163646.7729,336905.3291,91803962.2,96.5037497,660.1366589,9.5737642,1066.905638,2196.475915,4029.595726,39.93258608,1092.639987,2.6410384,294.3187968,605.9243904,2035.456799,586720.9811
7,container_ship,1993,0,20.71,15.5,0.18,5.03,12.79,6.02,15.36,42486,11401.3,TRUE,C3,73.5,682.4226695,1917.48731,50.6901798,5230.186757,16116.87768,23997.6646,626.7903867,1761.17041,45.3543714,4679.640782,14420.36424,21533.32019,71306.45777,367441.2075,3681.707796,379876.7223,1170594.274,1992900.369,1582.341073,5029.930479,112.0519764,11561.46546,35626.78224,53912.57123,5872.296522,23235.25283,293.469462,30280.02859,93308.2392,152989.2866,2543.190073,16673.80269,106.716168,11010.91949,33930.2688,64264.89722,15927.83192,50631.23786,1141.011208,117728.9513,362783.0507,89215058.26,121.640428,626.8114716,7.73692218,798.2916629,2459.944488,4014.424973,50.86380145,333.4760539,2.13432336,220.2183898,678.605376,1285.297944,548212.083
6,container_ship,2020,0,19.67,13.72,0.25,5.7,9.61,5.31,11.66,31173.7,8913.4,TRUE,C3,84.7,666.344454,2470.352507,55.040245,4633.541856,11153.01654,18978.2956,612.0228953,2268.965074,49.246535,4145.800608,9979.014797,17055.04991,13944.715,89013.24522,579.371,48774.1248,117400.1741,269711.6301,1563.67552,6500.450679,121.66791,10242.56621,24654.03656,43082.39687,5803.025955,29369.00059,318.65405,26825.76864,64570.09574,126886.545,2513.190188,19836.66211,115.8742,9754.82496,23480.03482,55700.58628,16032.13049,66648.14549,1261.927708,106234.8987,255709.265,71240296,118.9402162,759.230621,8.4008795,707.2248096,1702.302524,3296.09905,50.26380376,396.7332423,2.317484,195.0964992,469.6006963,1114.011726,445886.3675
11,container_ship,2019,0,18.17,12.66,0.22,5.29,10.61,5.72,14.53,36166.8,9980.9,FALSE,C3,83.3,570.0328673,4381.320166,54.2362106,4815.265243,11523.86729,21344.72178,523.5627966,4024.147326,48.5271358,4308.395218,10310.82863,19215.46111,10533.21603,63497.39371,570.90748,50687.00256,121303.8662,246592.386,1121.477706,6760.60486,119.8905708,10644.27054,25473.81191,44120.05558,4337.206599,23367.97467,313.999114,27877.85141,66717.12643,122614.1582,1858.802828,30464.7422,114.181496,10137.40051,24260.77325,66835.90029,11261.63732,67464.23295,1217.894716,108128.6106,258772.8186,72894090.6,89.84213669,541.5954169,8.27815846,734.9615371,1758.90606,3133.58331,37.17605656,609.294844,2.28362992,202.7480102,485.215465,1336.718006,446845.1941
7,container_ship,2020,0,20.36,14.84,0.21,5.31,11.14,5.7,13.49,26270.3,4928.4,FALSE,SV,82.5,571.63903,3117.395976,25.5636108,2386.686125,6670.135987,12771.42073,525.0380221,2863.260434,22.8727044,2135.456006,5968.01641,11514.64358,10562.89512,48301.5377,269.09064,25123.01184,70211.95776,154468.4931,1124.637657,5256.975202,56.5090344,5275.832486,14744.51113,26458.46551,4349.427402,21295.82175,147.999852,13817.65651,38616.57677,78227.48229,1864.040315,18626.08317,53.818128,5024.602368,14042.39155,39610.93553,11320.59319,52916.66813,575.4244027,53723.13984,150141.5057,43724070.49,90.0952819,411.983704,3.90181428,364.2836717,1018.073388,1888.337859,37.2808063,372.5216633,1.07636256,100.4920474,280.847831,792.2187106,268677.3313
5,container_ship,2009,0,18.77,12.15,0.23,6.39,10.34,4.74,12.73,46809.6,10872.5,FALSE,SV,78.9,1061.590429,6932.553847,61.7666725,6336.14508,12047.5998,26439.65583,975.0477308,6367.400001,55.2649175,5669.18244,10779.4314,23846.32649,83080.99008,406910.7693,3413.421375,350155.386,665788.41,1509348.977,2088.563778,9893.898236,136.536855,14006.21544,26631.5364,52756.75071,8077.31848,49615.25764,357.596525,36682.9452,69749.262,164482.3798,3461.70792,51975.62422,130.0351,13339.2528,25363.368,94269.98804,20776.30612,97865.00763,1373.992352,140946.8007,267997.4379,87105983.2,167.3158828,819.473077,9.42754475,967.095828,1838.84418,3802.156513,69.2341584,1039.512484,2.600702,266.785056,507.26736,1885.399761,528959.5447
12,container_ship,2002,0,21.25,15.43,0.24,5.58,9.7,5.43,14.44,52784.3,10292,FALSE,C3,73.7,706.5574083,7031.444026,61.010976,5237.557632,14483.06707,27519.63711,648.9576196,6458.22848,54.588768,4686.235776,12958.5337,24806.54434,61439.77463,458572.4365,3917.54688,336306.3322,929965.3594,1790201.449,1390.074901,10035.03084,134.866368,11577.75898,32015.2009,55152.93198,5375.98028,37529.01691,353.22144,30322.70208,83849.33568,157430.2564,2303.991549,52717.03624,128.44416,11026.43712,30490.66752,96666.57659,14488.82717,104004.7424,1422.042311,122076.863,337570.967,91086093.35,111.3595915,831.1625411,9.3122016,799.4166912,2210.573395,3961.824421,46.07983097,1054.340725,2.5688832,220.5287424,609.8133504,1933.331532,579563.4419
4,container_ship,2013,0,20.81,13.88,0.23,6.7,10.2,4.52,13.76,34156.3,9919.8,FALSE,C3,76.3,588.7917172,4611.92172,56.3543838,6061.394592,12557.03835,23875.50076,540.7923925,4235.949841,50.4223434,5423.353056,11235.24484,21485.76247,46079.35178,258143.0224,3114.32121,334971.8064,693941.593,1336250.095,1158.383705,5931.514068,124.5728484,13398.87226,27757.66372,48371.0066,4479.936979,24284.13319,326.262222,35092.28448,72698.64307,136881.2599,1919.972991,37524.18369,118.640808,12760.83072,26435.87021,78759.49841,11382.88885,57997.63818,1238.332516,133193.2231,275928.6473,79974707.24,92.79869457,519.8713646,8.60145858,925.1602272,1916.60059,3463.032335,38.39945982,750.4836738,2.37281616,255.2166144,528.7174042,1575.189968,479740.73
