month,type,year_ship,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,E1_PM10,E2_PM10,E3_PM10,E4_PM10,E5_PM10,Total_PM10,E1_PM2.5,E2_PM2.5,E3_PM2.5,E4_PM2.5,E5_PM2.5,Total_PM2.5,E1_NOx,E2_NOx,E3_NOx,E4_NOx,E5_NOx,Total_NOx,E1_SOx,E2_SOx,E3_SOx,E4_SOx,E5_SOx,Total_SOx,E1_CO,E2_CO,E3_CO,E4_CO,E5_CO,Total_CO,E1_HC,E2_HC,E3_HC,E4_HC,E5_HC,Total_HC,E1_CO2,E2_CO2,E3_CO2,E4_CO2,E5_CO2,Total_CO2,E1_N2O,E2_N2O,E3_N2O,E4_N2O,E5_N2O,Total_N2O,E1_CH4,E2_CH4,E3_CH4,E4_CH4,E5_CH4,Total_CH4
7,container_ship,1994,0,212.16,208,0.24,3.92,9.87,7.72,12.0,23591.02806983585,4718.184965003451,False,C3,113.6,579.6737736974052,4530.633378582434,27.969400472540457,1686.7699977285938,89502.08151212946,96327.12806261043,532.4177595372905,4161.288266197997,25.025253054378307,1509.215261125584,80080.80977401057,86308.75631392581,53556.81604812982,418591.1273690292,2031.461718531886,122512.76825607682,6500677.499302035,7097369.672693803,1140.4451417307644,8913.528712211091,61.82709578140521,3728.649468663207,197846.70650049672,211691.15691888318,4410.561321610691,34472.210489214165,161.92810799891845,9765.510513165544,518169.945596539,566980.1560285283,1890.2405664045818,14773.8044953775,58.882948363243074,3551.094732060197,188425.43476237782,208699.45750458335,1868187.7597965284,14601443.44293143,102456.33015204294,6178904.833784743,327860256.4865374,350611248.85320216,91.36162737622146,714.0672172765793,4.269013756335123,257.4543680743643,13660.844020272392,14727.99624675589,37.80481132809163,295.47608990755003,1.1776589672648614,71.02189464120394,3768.5086952475567,4173.989150091667
12,container_ship,2022,0,33.47,29,0.24,4.23,9.87,7.15,12.0,40313.60980384289,8062.742929918342,False,SV,106.4,990.5775304569383,6637.190235538695,47.79594008855594,3110.4127165321784,21324.34250104803,32110.318923664396,909.8239274305575,6096.114944598041,42.76478850028689,2783.0008516340545,19079.67486935877,28911.379381521707,18304.150019312994,122643.73261321502,503.1151588269046,32741.1864898124,224466.76316892664,398658.947450094,1948.8536197033245,13057.950354701128,105.65418335364994,6875.649162860604,47138.02026547459,69126.1275860933,7537.002949128878,50500.36048779441,276.7133373547975,18007.652569396825,123456.71974290967,199778.4490865846,3230.144121055234,21643.01163762618,100.62303176538092,6548.237297962481,44893.35263378533,76415.36872219462,3192459.1063095895,21390509.835187204,175084.0752717628,11393932.898454715,78114433.58278649,114266419.49800976,156.12363251766962,1046.0788958185988,7.295169802990117,474.74720410227985,3254.7680659494363,4939.012968190975,64.60288242110468,432.8602327525236,2.0124606353076184,130.9647459592496,897.8670526757066,1528.3073744438923
6,container_ship,1990,0,233.44,229,0.25,4.19,9.42,7.22,12.0,38575.68451376813,7715.116124654128,False,C3,120.5,858.3816859527283,6477.5882990248965,47.64084206973924,2948.161894481833,161128.65724017654,171460.42996170573,788.4049180761473,5949.524035517432,42.626016588714066,2637.8290634837454,144167.7459517369,153586.12998540292,79307.0035934586,598472.8319751263,3460.229581907377,214129.65338868048,11703028.789023349,12598398.507562522,1688.772664754824,12743.950892646806,105.31133510152885,6516.98945095984,356179.1370572323,377234.16140069533,6531.165001814237,49285.997927363336,275.81540145638513,17068.30570489482,932850.12086418,1006011.4048997087,2799.0707150632443,21122.570540298573,100.29650962050368,6206.656619961753,339218.2257687927,369446.82015373674,2766414.8900541733,20876140.550661758,174515.9267396764,10799582.51873345,590239712.8376993,624856366.7238884,135.2884178947235,1020.9242427810977,7.271496947486516,449.9826049472271,24593.321368237474,26206.78813080801,55.98141430126489,422.4514108059715,2.0059301924100734,124.13313239923507,6784.364515375854,7388.9364030747365
7,container_ship,2007,0,59.59,55,0.25,4.34,9.63,6.97,12.0,26377.605723732944,5275.50049578287,False,SV,116.3,627.0877648560122,4127.59921394804,32.57621556145922,2088.085300234826,26461.910486846875,33337.258981447216,575.966479677533,3791.1101475935807,29.147140239200354,1868.2868475785288,23676.446225073516,29940.95684016236,54529.370857044545,358921.6707780904,2091.7359465779077,134077.05612034144,1699133.1996817465,2248753.0333838006,1233.7270156406328,8120.602801354296,72.01058176743618,4615.767505782246,58494.74949724045,72536.85740178506,4771.319949991398,18529.331253918917,188.5991427242376,12088.914896096361,153200.53439753453,188778.69964026543,2044.8514071391703,13459.562654178393,68.58150644517731,4395.96905312595,55709.285235467105,75678.24985635579,2020994.8073892135,13302534.423212977,119331.8212146085,7648986.152439152,96934156.30971275,120026003.51396872,98.83448467839324,650.5455282852889,4.972159217275355,318.70775635163136,4038.923179571365,5111.983108103954,40.89702814278341,269.19125308356786,1.3716301289035462,87.919381062519,1114.185704709342,1513.5649971271157
7,container_ship,2021,0,126.21,122,0.25,3.96,9.54,7.65,12.0,27161.233896874066,5432.226130411094,True,SV,131.1,497.6535418298189,2918.1988517278187,33.543996355288506,1961.8593314502275,60441.120817406,65852.37653876915,457.73480852796166,2684.1187299314697,30.0130493705213,1755.3478228765196,54078.89757346853,59006.111984175004,8782.121326408567,86219.51152832192,353.09469847672113,20651.150857370816,636222.3243937474,752228.2028043254,1368.1548764140775,11509.775322088817,74.14988668011144,4336.741680047871,133606.68812268696,150895.5098879178,5667.0953858448465,47512.69138842563,194.20208416219666,11358.132971553949,349922.2784165611,414654.40024654777,1211.2094292443828,10310.672031505854,70.61893969534424,4130.230171474163,127244.46487874948,142967.1954506692,2241590.4084889,18857661.812000882,122876.95506989896,7186600.498365044,221405368.8890241,249814098.56294885,97.9544301791725,961.6791670466675,5.119873127912457,299.44168743187686,9225.223703709336,10589.418861494965,24.224188584887656,206.21344063011708,1.4123787939068846,82.60460342948326,2544.8892975749895,2859.3439090133847
5,container_ship,2000,0,283.31,279,0.23,4.08,10.3,7.43,12.0,27885.20697388008,5577.019382977295,True,SV,128.0,679.0923836136253,2683.2943820941828,31.683047114694016,2075.1866043283194,141906.14279598068,147375.3992131315,623.7315914712103,2464.5475574669395,28.347989523673593,1856.745909135865,126968.6540806143,131942.02712821198,64242.853299330054,527152.8415708378,2034.3851305224575,133248.82406739736,9111868.116373494,9838547.020441582,1453.4945558973425,10167.136362427715,70.03620941142887,4587.254599041549,313687.2630226941,329965.18474947213,6018.711761124104,55199.81599235617,183.42816750612323,12014.23823558501,821561.8793451514,894978.0735017228,2044.0907867968654,12314.636053089243,66.70115182040846,4368.813903849094,298749.77430732775,317544.01620288333,2381000.7504064203,16655005.14618684,116060.00416751069,7601736.192697423,519824607.2947503,546578409.3882084,116.44017160503574,955.4645253471435,4.835833506979613,316.7390080290593,21659.35863728126,23052.838175769477,40.881815735937316,246.29272106178487,1.3340230364081689,87.37627807698188,5974.995486146554,6350.880324057666
7,container_ship,2010,0,214.49,210,0.22,4.27,10.52,7.09,12.0,50623.61892273972,10124.703135584225,False,C3,113.3,1380.6931602195423,8203.399345139269,55.01763683876467,3942.8023938717506,193908.31445270905,207490.2269887784,1268.1366525929493,7534.643963742047,49.2263066452105,3527.7705629378825,173496.91293137128,185876.69041728936,108054.2473215294,642005.1661413341,3040.4483516159426,217891.71124028097,10715985.798702342,11686977.371757105,2716.363717388447,16139.296537719649,121.61793406463768,8715.668449611238,428639.4319480937,456332.37858687766,10505.274045148692,62417.16893040748,318.5231606454797,22826.75070136277,1122627.0836735787,1218694.8005111432,4502.260305063725,26750.21525588892,115.82660387108352,8300.63661867737,408228.03042675595,447896.96921025706,4449733.934837982,26438129.411236886,201538.29073568532,14443107.716498625,710316772.9425553,755849282.2958645,217.60924807808004,1292.927070701298,8.397428780653556,601.7961548541093,29596.532205939802,31717.262108353945,90.0452061012745,535.0043051177785,2.3165320774216704,166.0127323735474,8164.560608535118,8957.939384205141
5,container_ship,2015,0,103.32,99,0.24,4.08,9.95,7.42,11.0,47645.85903979371,9529.1277843613,True,C3,114.2,1510.4875405723876,8233.75748784197,56.48866950569379,3545.7503320497026,86036.58893944131,99383.07296941105,1387.3499693300735,7562.52725785485,50.54249376825234,3172.513454991839,76980.10589318433,89153.03906912934,121868.11174497077,884949.9352150151,3121.7422621567625,195949.36045537828,4754653.599284914,5960542.748962435,3032.9926310529595,22030.671121817162,124.86969048627049,7837.974418215131,190186.14397139655,223212.65183296808,10781.942664103663,88542.72544896725,327.0396655592799,20528.028238182487,498106.56754413387,618286.3035609466,5128.616369267519,40452.80852722358,118.92351474882905,7464.737541157268,181129.6609251396,234294.7468775368,4968410.580702777,36088917.05866734,206926.9156629625,12988643.321613645,315165610.00974286,369418507.8863896,245.42883615306613,1782.1908417524608,8.621954819290107,541.1934717339019,13131.90041707262,15709.33552153134,102.57232738535039,809.0561705444716,2.3784702949765806,149.29475082314536,3622.593218502792,4685.894937550735
7,container_ship,2014,0,204.14999999999998,200,0.23,3.92,10.11,7.73,12.0,53641.87794956549,10728.3755899131,True,C3,109.1,1167.5024821679071,7756.465599496596,60.94790172629631,3835.437186896292,195685.57076001493,208505.923930302,1072.32564938248,7124.145034320243,54.53233312352828,3431.706956696683,175087.0896273818,186769.79960090472,100931.71104687166,882213.6525340476,3368.1735164532174,211958.3708547951,10814202.594632404,12012674.502584573,2644.145219662124,20957.07074948044,134.72694065812868,8478.334834191804,432568.10378529615,464782.3815292886,9709.512553924202,84983.88395970182,352.85627315224184,22205.162660978534,1132916.4622948233,1250167.8777425804,4294.024548923925,41142.99144080803,128.31137205536066,8074.604603992194,411969.62265266303,465609.55461844255,4331431.257623315,34330229.155916855,223261.78737632756,14049812.010946417,716827143.4156336,769761877.6274965,203.26525141383877,1776.6802724644017,9.30257447401365,585.4088337894341,29867.79764231807,32442.454574459756,85.8804909784785,822.8598288161606,2.566227441107213,161.4920920798439,8239.39245305326,9312.19109236885
6,container_ship,2011,0,313.82,310,0.24,3.58,9.92,8.46,13.0,61111.195667460124,12222.19757729303,False,C3,109.6,1199.0983495933192,11094.370439447297,72.45318723819308,3990.4986201958645,345545.96990522847,361902.39050170314,1101.3457667460377,10189.93806666627,64.82653594996223,3570.446133859458,309172.7099152045,324099.2664184262,93842.4795333902,868255.0778697885,4003.991926321197,220527.55532661357,19095961.494762626,20282590.59941874,2359.095666047726,21826.967929782182,160.15967705284785,8821.102213064542,763838.459790505,797005.7852764524,9123.574399079602,84413.68812622943,419.4658208526968,23102.886748502377,2000529.299451323,2117588.9145459873,3910.103313891258,36177.29491124118,152.533025764617,8401.049726728135,727465.1998004811,776106.1807781062,3864485.4418958602,35755226.470610045,265407.4648304336,14617826.524506956,1265789447.652837,1320292393.5546803,188.9883268380775,1748.5692540433242,11.058644367934734,609.07610518779,52741.22698553487,55298.919315971994,78.20206627782517,723.5458982248239,3.0506605152923405,168.02099453456273,14549.303996009621,15522.123615562125
