month,type,year_ship,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,E1_PM10,E2_PM10,E3_PM10,E4_PM10,E5_PM10,Total_PM10,E1_base_PM10,E2_base_PM10,E3_base_PM10,E4_base_PM10,E5_base_PM10,E1_PM2.5,E2_PM2.5,E3_PM2.5,E4_PM2.5,E5_PM2.5,Total_PM2.5,E1_base_PM2.5,E2_base_PM2.5,E3_base_PM2.5,E4_base_PM2.5,E5_base_PM2.5,E1_NOx,E2_NOx,E3_NOx,E4_NOx,E5_NOx,Total_NOx,E1_base_NOx,E2_base_NOx,E3_base_NOx,E4_base_NOx,E5_base_NOx,E1_SOx,E2_SOx,E3_SOx,E4_SOx,E5_SOx,Total_SOx,E1_base_SOx,E2_base_SOx,E3_base_SOx,E4_base_SOx,E5_base_SOx,E1_CO,E2_CO,E3_CO,E4_CO,E5_CO,Total_CO,E1_base_CO,E2_base_CO,E3_base_CO,E4_base_CO,E5_base_CO,E1_HC,E2_HC,E3_HC,E4_HC,E5_HC,Total_HC,E1_base_HC,E2_base_HC,E3_base_HC,E4_base_HC,E5_base_HC,E1_CO2,E2_CO2,E3_CO2,E4_CO2,E5_CO2,Total_CO2,E1_base_CO2,E2_base_CO2,E3_base_CO2,E4_base_CO2,E5_base_CO2,E1_N2O,E2_N2O,E3_N2O,E4_N2O,E5_N2O,Total_N2O,E1_base_N2O,E2_base_N2O,E3_base_N2O,E4_base_N2O,E5_base_N2O,E1_CH4,E2_CH4,E3_CH4,E4_CH4,E5_CH4,Total_CH4,E1_base_CH4,E2_base_CH4,E3_base_CH4,E4_base_CH4,E5_base_CH4
7,container_ship,1994,0,212.16,208,0.24,3.92,9.87,7.72,12.0,22448.48679401111,4897.883816909836,False,SV,118.6,551.5994900756069,4311.209467706822,29.034655266641508,1751.0130560805344,92910.89685325284,99553.75352238244,551.5994900756069,4311.209467706822,29.034655266641508,1751.0130560805344,92910.89685325284,506.6321403411824,3959.752174143766,25.978375764889776,1566.6958922825834,83130.80244764728,89189.86103017969,506.6321403411824,3959.752174143766,25.978375764889776,1566.6958922825834,83130.80244764728,50962.996365681065,398318.26603813027,2108.8328562086995,127178.8430205862,6748265.139867838,7326834.078148444,50962.996365681065,398318.26603813027,2108.8328562086995,127178.8430205862,6748265.139867838,1085.212040257444,8481.83601798842,64.1818695367865,3870.660439756971,205381.98251771677,218883.8728852564,1085.212040257444,8481.83601798842,64.1818695367865,3870.660439756971,205381.98251771677,4196.952641879618,32802.6807325519,168.09537259634558,10137.444008887305,537905.192308306,585210.3650642211,4196.952641879618,32802.6807325519,168.09537259634558,10137.444008887305,537905.192308306,1798.6939893769788,14058.291742522244,61.12559003503476,3686.34327595902,195601.88811211122,215206.3427100045,1798.6939893769788,14058.291742522244,61.12559003503476,3686.34327595902,195601.88811211122,1777709.2261675808,13894278.338859485,106358.52666096049,6414237.300168695,340347285.3150735,362539868.7069302,1777709.2261675808,13894278.338859485,106358.52666096049,6414237.300168695,340347285.3150735,86.93687615322065,679.4841008885752,4.43160527754002,267.25988750702896,14181.136888128063,15219.249357954428,86.93687615322065,679.4841008885752,4.43160527754002,267.25988750702896,14181.136888128063,35.97387978753957,281.1658348504449,1.2225118007006952,73.7268655191804,3912.0377622422243,4304.12685420009,35.97387978753957,281.1658348504449,1.2225118007006952,73.7268655191804,3912.0377622422243
12,container_ship,2022,0,33.47,29,0.24,4.23,9.87,7.15,12.0,38056.03712130703,7401.698500093171,False,SV,112.1,935.1049299238983,6265.505848120787,43.877268708552315,2855.397640571943,19576.012193046416,29675.897880371595,935.1049299238983,6265.505848120787,43.877268708552315,2855.397640571943,19576.012193046416,858.873549767059,5754.730914850071,39.258608844494184,2554.82946788016,17515.37933062048,26723.07187196226,858.873549767059,5754.730914850071,39.258608844494184,2554.82946788016,17515.37933062048,17279.1128355503,115775.65154136237,461.8659864058139,30056.81726917835,206063.28624259384,369636.73387509066,17279.1128355503,115775.65154136237,461.8659864058139,30056.81726917835,206063.28624259384,1839.7173077850612,12326.701722933289,96.99185714522092,6311.931626527453,43273.29011094471,63848.63262533573,1839.7173077850612,12326.701722933289,96.99185714522092,6311.931626527453,43273.29011094471,7114.928814638357,47672.32710526685,254.02629252319764,16531.24949804809,113334.80743342663,184907.3391439031,7114.928814638357,47672.32710526685,254.02629252319764,16531.24949804809,113334.80743342663,3049.2552062735817,20430.997330828654,92.37319728116277,6011.36345383567,41212.65724851877,70796.64643673784,3049.2552062735817,20430.997330828654,92.37319728116277,6011.36345383567,41212.65724851877,3013680.56220039,20192635.69530232,160729.36326922322,10459772.409674065,71710023.61242266,105536841.64286867,3013680.56220039,20192635.69530232,160729.36326922322,10459772.409674065,71710023.61242266,147.3806683032231,987.4982043233849,6.697056802884301,435.8238504030861,2987.917650517611,4565.31743035019,147.3806683032231,987.4982043233849,6.697056802884301,435.8238504030861,2987.917650517611,60.98510412547164,408.6199466165731,1.8474639456232556,120.2272690767134,824.2531449703755,1415.9329287347568,60.98510412547164,408.6199466165731,1.8474639456232556,120.2272690767134,824.2531449703755
6,container_ship,1990,0,233.44,229,0.25,4.19,9.42,7.22,12.0,35615.04767724517,7766.88136269846,False,C3,105.6,792.5019362798149,5980.441280853945,47.960492414662994,2967.9428413652377,162209.76388368482,171998.6104345985,792.5019362798149,5980.441280853945,47.960492414662994,2967.9428413652377,162209.76388368482,727.8958001700474,5492.9053068712865,42.912019528909,2655.5278054320547,145135.0518959285,154054.2928279308,727.8958001700474,5492.9053068712865,42.912019528909,2655.5278054320547,145135.0518959285,73220.28759106986,552540.7705136796,3483.44629117026,215566.37479389622,11781551.271551844,12626362.15074166,73220.28759106986,552540.7705136796,3483.44629117026,215566.37479389622,11781551.271551844,1559.1614181157227,11765.868172114824,106.01793060083398,6560.71575459684,358568.95174288214,378560.71501831035,1559.1614181157227,11765.868172114824,106.01793060083398,6560.71575459684,358568.95174288214,6029.906036911635,45503.35757171479,277.66600871647,17182.826976325057,939109.1593265963,1008102.9159202642,6029.906036911635,45503.35757171479,277.66600871647,17182.826976325057,939109.1593265963,2584.2454443907004,19501.438959306342,100.96945771507998,6248.300718663658,341494.2397551259,369929.1943352017,2584.2454443907004,19501.438959306342,100.96945771507998,6248.300718663658,341494.2397551259,2554095.9142061425,19273922.17144777,175686.85642423917,10872043.250474766,594199977.173919,627075725.366472,2554095.9142061425,19273922.17144777,175686.85642423917,10872043.250474766,594199977.173919,124.90519647888388,942.5695496998065,7.320285684343299,453.0018021031152,24758.332382246626,26286.129216212776,124.90519647888388,942.5695496998065,7.320285684343299,453.0018021031152,24758.332382246626,51.68490888781402,390.0287791861268,2.0193891543016,124.96601437327315,6829.884795102518,7398.583886704034,51.68490888781402,390.0287791861268,2.0193891543016,124.96601437327315,6829.884795102518
7,container_ship,2007,0,59.59,55,0.25,4.34,9.63,6.97,12.0,25100.107209993712,4924.901068276832,False,C3,110.1,596.7171657964157,3927.694722374511,30.41126409660944,1949.3152420325162,24703.30375847659,31207.442152776643,596.7171657964157,3927.694722374511,30.41126409660944,1949.3152420325162,24703.30375847659,548.071744671708,3607.502217833111,27.210078402229502,1744.12416392383,22102.955994426426,28029.864199257307,548.071744671708,3607.502217833111,27.210078402229502,1744.12416392383,22102.955994426426,51888.44919968832,341538.67151082703,1952.723273571764,125166.55764629839,1586212.136070602,2106758.537700988,51888.44919968832,341538.67151082703,1952.723273571764,125166.55764629839,1586212.136070602,1173.9761631429483,7727.312442932462,67.22489958197876,4309.0126402824035,54607.303045053515,67884.8291909933,1173.9761631429483,7727.312442932462,67.22489958197876,4309.0126402824035,54607.303045053515,4540.239304972728,13149.238853166842,176.06521319089677,11285.509295977725,143019.12702275923,172170.17969006742,4540.239304972728,29884.633757197364,176.06521319089677,11285.509295977725,143019.12702275923,1945.816844988312,12807.700181656015,64.02371388759883,4103.821562173718,52006.95528100335,70928.317583709,1945.816844988312,12807.700181656015,64.02371388759883,4103.821562173718,52006.95528100335,1923115.6484634483,12658277.012870029,111401.26216442196,7140649.518182269,90492102.18894583,112325545.63062601,1923115.6484634483,12658277.012870029,111401.26216442196,7140649.518182269,90492102.18894583,94.04781417443509,619.038842113374,4.641719256850915,297.5270632575946,3770.504257872743,4785.759696674998,94.04781417443509,619.038842113374,4.641719256850915,297.5270632575946,3770.504257872743,38.91633689976624,256.1540036331203,1.2804742777519766,82.07643124347437,1040.139105620067,1418.56635167418,38.91633689976624,256.1540036331203,1.2804742777519766,82.07643124347437,1040.139105620067
7,container_ship,2021,0,126.21,122,0.25,3.96,9.54,7.65,12.0,25845.783347722794,6188.129497647127,True,SV,120.4,465.9545102378386,2732.318375016103,38.21169964797101,2234.8553443342553,68851.604042621,74322.94397185715,597.3775772279981,4879.139955385897,38.21169964797101,2234.8553443342553,68851.604042621,427.96908820758006,2509.5750292267467,34.189415474500386,1999.607413351702,61604.06677497668,66575.4077212372,548.6783182148462,4481.383980762047,34.189415474500386,1999.607413351702,61604.06677497668,10928.113722551314,107288.04488853988,402.22841734706327,23524.793098255315,724753.7267644315,866896.906891125,11038.498709647793,90158.0209147394,402.22841734706327,23524.793098255315,724753.7267644315,1175.2754508507355,9887.152846549923,84.46796764288328,4940.206550633617,152198.2826205306,168285.38543620775,1175.2754508507355,9599.177520922254,84.46796764288328,4940.206550633617,152198.2826205306,6863.3489035868915,57542.03099558368,221.22562954088482,12938.636204040426,398614.5497204374,476179.7914531893,4545.264174560854,37123.89096489269,221.22562954088482,12938.636204040426,398614.5497204374,1383.0589559735174,11773.57684886597,80.44568346941267,4704.958619651064,144950.7453528863,162892.78546084627,1947.9703605260806,15910.238984954012,80.44568346941267,4704.958619651064,144950.7453528863,1925244.0396532766,16196358.116033435,139975.48923677803,8186627.99819285,252214296.91402215,278662502.5571385,1925244.0396532766,15724619.530129548,139975.48923677803,8186627.99819285,252214296.91402215,93.21038175117299,915.103912284605,5.832312051532417,341.1094999247021,10508.929038084256,11864.18514409627,94.15190075876058,768.9948842727773,5.832312051532417,341.1094999247021,10508.929038084256,27.661179119470347,235.4715369773194,1.6089136693882533,94.09917239302126,2899.014907057726,3257.855709216925,38.95940721052162,318.2047796990803,1.6089136693882533,94.09917239302126,2899.014907057726
5,container_ship,2000,0,283.31,279,0.23,4.08,10.3,7.43,12.0,25683.80418987166,5337.352518511255,True,SV,109.7,625.4813107144258,2471.46121447275,30.321499657662443,1986.0075227279638,135807.8673630152,140921.13891058796,687.3420996861823,4576.780026801389,30.321499657662443,1986.0075227279638,135807.8673630152,574.4909864714022,2269.9833980755147,27.129762851592716,1776.9540992829152,121512.30237743465,126160.86062411607,631.3087763422001,4203.672959399101,27.129762851592716,1776.9540992829152,121512.30237743465,59171.189451245256,485536.663712843,1946.9594517025357,127522.58830147977,8720294.641204134,9394472.042121403,59768.87823358107,397980.8718957729,1946.9594517025357,127522.58830147977,8720294.641204134,1338.748161334424,9364.489915707536,67.02647292746434,4390.121892346026,300206.86469719146,315367.25113950693,1352.2708700347716,9004.317226641862,67.02647292746434,4390.121892346026,300206.86469719146,5543.563456164645,50842.05638468499,175.5455243338352,11497.938289477686,786256.0742069301,854315.1778615913,5229.776845438343,34823.326290880126,175.5455243338352,11497.938289477686,786256.0742069301,1882.7196643578036,11342.454849029527,63.83473612139462,4181.068468900977,285911.29971161095,303381.37743002066,2241.33293375929,14924.282696091484,63.83473612139462,4181.068468900977,285911.29971161095,2193032.2090367777,15340172.707222568,111072.44085122662,7275059.135887699,497485661.49820304,522404997.9912013,2215184.0495320987,14750166.064637084,111072.44085122662,7275059.135887699,497485661.49820304,107.24778088038204,880.0352029795279,4.62801836880111,303.1274639953208,20728.569229091794,22023.607695315826,108.33109179836569,721.3403303110885,4.62801836880111,303.1274639953208,20728.569229091794,37.654393287156076,226.84909698059056,1.2766947224278924,83.62136937801954,5718.225994232218,6067.627548600412,44.826658675185804,298.4856539218297,1.2766947224278924,83.62136937801954,5718.225994232218
7,container_ship,2010,0,214.49,210,0.22,4.27,10.52,7.09,12.0,48171.85743190381,9498.970846984423,True,C3,103.6,1195.5803534562463,5932.635279961587,51.61740758251336,3699.127223116062,181924.28966144568,192803.2499255621,1313.8245642376332,7806.099052581036,51.61740758251336,3699.127223116062,181924.28966144568,1098.1145637723132,5448.996534312546,46.18399625803826,3309.7454101564767,162774.36443392507,172677.40493842444,1206.7193008486959,7169.732281990192,46.18399625803826,3309.7454101564767,162774.36443392507,100764.6317963124,733094.5197206539,2852.540945349422,204425.45180378237,10053710.744448312,11094847.88871441,102821.05285338001,610912.0997672116,2852.540945349422,204425.45180378237,10053710.744448312,2558.9589528884944,15971.957452802762,114.1016378139769,8177.018072151294,402148.42977793247,428970.465893589,2584.807023119691,15357.651396925734,114.1016378139769,8177.018072151294,402148.42977793247,9196.771949663433,67115.48207164781,298.83762284613,21415.999712777204,1053245.887513633,1151272.9788705676,9996.491249634166,59394.231921812236,298.83762284613,21415.999712777204,1053245.887513633,4241.368430201925,35891.08586132368,108.6682264895018,7787.6362591917095,382998.50455041195,431027.26332761877,4284.2105355574995,25454.670823633813,108.6682264895018,7787.6362591917095,382998.50455041195,4191885.7985162367,26164007.650585745,189082.71409173313,13550487.090993574,666417397.9177167,710512861.171904,4234228.079309329,25157699.664024755,189082.71409173313,13550487.090993574,666417397.9177167,202.9287723675736,1476.370907770761,7.878446420488881,564.6036287913989,27767.391579904863,30019.173335255084,207.07017588527916,1230.3090898089679,7.878446420488881,564.6036287913989,27767.391579904863,84.8273686040385,717.8217172264737,2.173364529790036,155.7527251838342,7659.970091008239,8620.545266552375,85.68421071115,509.09341647267627,2.173364529790036,155.7527251838342,7659.970091008239
5,container_ship,2015,0,103.32,99,0.24,4.08,9.95,7.42,11.0,43884.447950576316,10394.618715351035,False,SV,115.7,1434.2699220318912,10111.65598843427,61.61929974460093,3867.7960455072584,93850.93345716142,109326.27471287944,1434.2699220318912,10111.65598843427,61.61929974460093,3867.7960455072584,93850.93345716142,1317.3457436053784,9287.336206768434,55.133057666221895,3460.659619664389,83971.8878300918,98092.36245779622,1317.3457436053784,9287.336206768434,55.133057666221895,3460.659619664389,83971.8878300918,112247.21128945236,791346.9903992037,3405.277091148999,213746.62356750638,5186498.954211551,6307245.056558862,112247.21128945236,791346.9903992037,3405.277091148999,213746.62356750638,5186498.954211551,2821.770172693177,19893.584064202205,136.21108364595997,8549.864942700255,207459.95816846204,238861.38843170364,2821.770172693177,19893.584064202205,136.21108364595997,8549.864942700255,207459.95816846204,10912.923319807867,76936.51295547815,356.7433143108475,22392.503421357815,543347.5094888293,653946.1924997839,10912.923319807867,76936.51295547815,356.7433143108475,22392.503421357815,543347.5094888293,4676.967137060515,32972.79126663349,129.7248415675809,8142.728516857386,197580.91254139246,243503.1243035114,4676.967137060515,32972.79126663349,129.7248415675809,8142.728516857386,197580.91254139246,4622402.5204614755,32588108.7018561,225721.22432759078,14168347.61933185,343790787.8220228,395395367.88799983,4622402.5204614755,32588108.7018561,225721.22432759078,14168347.61933185,343790787.8220228,226.05341162459158,1593.6849112206187,9.405051013649615,590.3478174721605,14324.616159250952,16744.107350581973,226.05341162459158,1593.6849112206187,9.405051013649615,590.3478174721605,14324.616159250952,93.5393427412103,659.4558253326699,2.594496831351618,162.85457033714772,3951.618250827849,4870.062486070228,93.5393427412103,659.4558253326699,2.594496831351618,162.85457033714772,3951.618250827849
7,container_ship,2014,0,204.14999999999998,200,0.23,3.92,10.11,7.73,12.0,51043.938619041095,10412.939899592282,False,C3,114.9,1291.8127463116975,9841.081112873679,59.15591156958375,3722.6676658638385,189932.02376856323,204846.741205182,1291.8127463116975,9841.081112873679,59.15591156958375,3722.6676658638385,189932.02376856323,1186.501924601505,9038.819065628542,52.92897350962757,3330.8079115623823,169939.17916134605,183548.2370366481,1186.501924601505,9038.819065628542,52.92897350962757,3330.8079115623823,169939.17916134605,101098.38884178502,770171.5653553315,3269.1424814769966,205726.37100826477,10496243.41878902,11576508.886475878,101098.38884178502,770171.5653553315,3269.1424814769966,205726.37100826477,10496243.41878902,2541.501163939318,19361.257406849305,130.76569925907987,8229.05484033059,419849.73675156076,450112.3158619391,2541.501163939318,19361.257406849305,130.76569925907987,8229.05484033059,419849.73675156076,9829.010026284654,74877.79107621277,342.4815932975901,21552.28648658012,1099606.453396945,1206208.02257932,9829.010026284654,74877.79107621277,342.4815932975901,21552.28648658012,1099606.453396945,4212.432868407709,32090.481889805473,124.53876119912368,7837.1950860291345,399856.89214434364,444121.5407497851,4212.432868407709,32090.481889805473,124.53876119912368,7837.1950860291345,399856.89214434364,4163287.818276286,31716092.93442441,216697.4444864752,13636719.449690692,695750992.3311578,745483789.9780358,4163287.818276286,31716092.93442441,216697.4444864752,13636719.449690692,695750992.3311578,203.6009219730393,1551.0399580072647,9.029060186936468,568.1966437371123,28989.624680464913,31321.491264369266,203.6009219730393,1551.0399580072647,9.029060186936468,568.1966437371123,28989.624680464913,84.2486573681542,641.8096377961095,2.490775223982474,156.74390172058267,7997.137842886872,8882.430814995701,84.2486573681542,641.8096377961095,2.490775223982474,156.74390172058267,7997.137842886872
6,container_ship,2011,0,313.82,310,0.24,3.58,9.92,8.46,13.0,56420.98577753661,10596.050028016816,True,SV,106.8,797.0896876804726,5940.876786390337,62.813384566083684,3459.5679499473786,299571.5263920914,309831.8742006757,1107.0690106673233,10242.891011017822,62.813384566083684,3459.5679499473786,299571.5263920914,732.1095500978256,5456.566178804168,56.2014493486012,3095.4029025844966,268037.6815087134,277377.96158954845,1016.8188195803132,9407.872722076154,56.2014493486012,3095.4029025844966,268037.6815087134,87506.58527796494,929876.366565444,3471.265989178309,191186.64986551303,16555268.563773472,17767309.43147157,86640.18344352965,801617.5573840035,3471.265989178309,191186.64986551303,16555268.563773472,2178.0379448998424,20756.32794765275,138.85063956713236,7647.46599462052,662210.742550939,692931.4250776791,2178.0379448998424,20151.774706458975,138.85063956713236,7647.46599462052,662210.742550939,14066.996450761962,127034.11569099275,363.65643696153717,20029.077604958507,1734361.4685857925,1895855.3147694673,8423.351168120937,77935.04030122256,363.65643696153717,20029.077604958507,1734361.4685857925,2454.8051975666735,24048.526721520106,132.23870434964988,7283.30094725764,630676.8976675608,664595.769238255,3610.007643480402,33400.73155766681,132.23870434964988,7283.30094725764,630676.8976675608,3567890.8876397973,34001388.04684552,230095.3455683908,12672943.648228291,1097377801.9415557,1147850119.8698378,3567890.8876397973,33011056.3561607,230095.3455683908,12672943.648228291,1097377801.9415557,176.22853979590164,1872.667682666519,9.587306065349617,528.0393186761788,45724.07508089816,48310.597928102114,174.48370276821944,1614.3686919538961,9.587306065349617,528.0393186761788,45724.07508089816,49.096103951333475,480.97053443040215,2.6447740869929977,145.66601894515279,12613.537953351217,13291.915384765098,72.20015286960805,668.0146311533364,2.6447740869929977,145.66601894515279,12613.537953351217
